ticker,GUESF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-28,0.0
2007-09-05,7.3529
2007-09-11,-12.3288
2007-09-12,0.0
2007-09-14,-3.125
2007-09-18,16.129
2007-09-19,-3.3767
2007-09-21,14.1317
2007-10-01,28.2116
2007-10-16,14.1454
2007-10-17,12.1504
2007-10-22,3.2085
2007-10-23,0.1115
2007-10-24,-0.5431
2007-10-26,17.1513
2007-10-30,-9.6805
2007-10-31,-6.1397
2007-11-01,-7.5188
2007-11-02,21.5447
2007-11-06,2.6756
2007-11-13,10.0977
2007-11-14,-1.1834
2007-11-15,-7.7844
2007-11-16,6.2013
2007-11-19,-6.2481
2007-11-23,-4.1291
2007-11-26,2.0408
2007-11-27,0.3333
2007-11-28,-0.4527
2007-11-29,-10.7922
2007-12-10,-11.7097
2007-12-11,0.0
2007-12-19,0.5932
2007-12-20,-6.5712
2008-01-03,17.6736
2008-01-04,0.3831
2008-01-09,5.0382
2008-01-14,-0.6904
2008-01-16,-6.3666
2008-01-18,-7.2685
2008-01-22,-4.7619
2008-01-23,2.3894
2008-01-25,12.0246
2008-01-29,-3.1729
2008-01-30,1.4043999999999999
2008-01-31,-7.2144
2008-02-01,1.2015
2008-02-04,1.2551999999999999
2008-02-05,-1.9008
2008-02-07,-0.8003
2008-02-08,4.9522
2008-02-12,-0.3186
2008-02-13,4.9721
2008-02-15,0.2997
2008-02-20,7.3487
2008-02-26,12.0438
2008-02-27,-4.8718
2008-03-04,-0.4127
2008-03-05,-0.96
2008-03-07,7.733
2008-03-10,-11.2089
2008-03-13,-1.2231
2008-03-24,2.6753
2008-03-26,-8.794
2008-03-27,0.2895
2008-03-28,-2.2375
2008-03-31,-3.3814
2008-04-11,5.9603
2008-04-16,4.4615
2008-04-17,7.8194
2008-04-18,2.591
2008-04-21,-4.8764
2008-04-23,-7.9564
2008-04-25,-6.7956
2008-04-28,3.7271
2008-04-29,-3.2639
2008-05-01,-2.0325
2008-05-05,18.1743
2008-05-08,-9.3399
2008-05-12,10.2488
2008-05-15,-13.6302
2008-05-22,-5.6383
2008-06-04,-10.5603
2008-06-12,0.9337
2008-06-17,-0.2089
2008-06-18,-1.7703
2008-06-19,-4.5604
2008-06-20,8.504
2008-06-23,0.3763
2008-06-24,-6.9939
2008-06-27,0.233
2008-06-30,0.3519
2008-07-02,-2.874
2008-07-07,-33.8834
2008-07-08,-6.1622
2008-07-10,30.8084
2008-07-28,11.2559
2008-07-29,-4.955
2008-08-12,-5.5889
