ticker,MDLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-19,76.4286
2019-07-22,-2.834
2019-07-23,2.0278
2019-07-24,10.373
2019-07-25,2.368
2019-07-26,3.6145
2019-07-29,-1.6743999999999999
2019-07-30,-2.8382
2019-07-31,-2.9942
2019-08-01,-4.7428
2019-08-02,5.0316
2019-08-05,-3.8876
2019-08-06,-1.8267
2019-08-07,1.4886
2019-08-08,-3.0906
2019-08-09,1.1622
2019-08-12,5.0761
2019-08-13,5.3903
2019-08-14,-0.386
2019-08-15,-2.9063
2019-08-16,-1.0975
2019-08-19,-4.9685
2019-08-20,-2.5478
2019-08-21,1.8791
2019-08-22,-0.4812
2019-08-23,1.4236
2019-08-26,-0.3972
2019-08-27,1.9676
2019-08-28,-7.5619
2019-08-29,1.2412
2019-08-30,-0.7523
2019-09-03,-3.9865
2019-09-04,7.8947
2019-09-05,-1.1381999999999999
2019-09-06,-6.3322
2019-09-09,-16.652
2019-09-10,1.7907
2019-09-11,-2.0352
2019-09-12,-7.5352
2019-09-13,14.5468
2019-09-16,1.1303
2019-09-17,2.8928000000000003
2019-09-18,-0.1597
2019-09-19,-3.872
2019-09-20,0.2663
2019-09-23,0.6308
2019-09-24,-0.3959
2019-09-25,1.5568
2019-09-26,-3.7834
2019-09-27,-6.7458
2019-09-30,-0.2908
2019-10-01,-3.7186
2019-10-02,4.9224
2019-10-03,3.284
2019-10-04,4.123
2019-10-07,-1.3087
2019-10-08,-5.7803
2019-10-09,-0.6496
2019-10-10,1.9615
2019-10-11,5.0232
2019-10-14,-1.3908
2019-10-15,0.2064
2019-10-16,-6.0762
2019-10-17,3.3991
2019-10-18,0.813
2019-10-21,-7.784
2019-10-22,-7.8327
2019-10-23,4.5792
2019-10-24,7.6529
2019-10-25,-0.513
2019-10-28,3.8674
2019-10-29,1.0284
2019-10-30,3.1239
2019-10-31,-1.0211
2019-11-01,2.3728
2019-11-04,1.31
2019-11-05,-2.5531
2019-11-06,-2.1436
2019-11-07,-3.5465999999999998
2019-11-08,1.1896
2019-11-11,0.0713
2019-11-12,4.9484
2019-11-13,5.1221
2019-11-14,-3.2914
2019-11-15,0.5339
2019-11-18,2.2237
2019-11-19,-0.3896
2019-11-20,3.3572
2019-11-21,1.9868000000000001
2019-11-22,-3.6797
2019-11-25,2.7287
2019-11-26,-4.5938
2019-11-27,0.0983
2019-11-29,-0.6545
2019-12-02,1.4822
2019-12-03,2.4667
2019-12-04,-7.6022
2019-12-05,2.3654
