ticker,NEP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-27,28.0
2014-06-30,4.7187
2014-07-01,2.6559
2014-07-02,0.5814
2014-07-03,0.0289
2014-07-07,1.6758
2014-07-08,-0.0568
2014-07-09,-1.1658
2014-07-10,0.5466
2014-07-11,0.1431
2014-07-14,0.1714
2014-07-15,-0.5419
2014-07-16,0.3728
2014-07-17,-1.3143
2014-07-18,-0.1158
2014-07-21,0.058
2014-07-22,4.2874
2014-07-23,-1.6111
2014-07-24,-1.0446
2014-07-25,-2.1398
2014-07-28,0.8455
2014-07-29,1.1275
2014-07-30,-1.315
2014-07-31,-1.3905
2014-08-01,-0.7051
2014-08-04,1.3314
2014-08-05,-3.0365
2014-08-06,-2.8305
2014-08-07,1.2395
2014-08-08,2.5099
2014-08-11,0.1792
2014-08-12,1.9672
2014-08-13,0.76
2014-08-14,-1.6825999999999999
2014-08-15,1.0623
2014-08-18,-0.7591
2014-08-19,-1.0886
2014-08-20,0.0297
2014-08-21,0.9515
2014-08-22,1.2077
2014-08-25,0.4948
2014-08-26,0.7819
2014-08-27,0.2586
2014-08-28,-0.8025
2014-08-29,1.4447
2014-09-02,0.1994
2014-09-03,0.4264
2014-09-04,0.9341
2014-09-05,0.6169
2014-09-08,5.0725
2014-09-09,-1.8037
2014-09-10,0.1351
2014-09-11,0.4046
2014-09-12,-1.5046
2014-09-15,-0.5728
2014-09-16,-1.2346
2014-09-17,-0.9444
2014-09-18,1.3740999999999999
2014-09-19,0.8022
2014-09-22,-3.4029
2014-09-23,0.1989
2014-09-24,0.0284
2014-09-25,0.5385
2014-09-26,0.5357
2014-09-29,-1.5704
2014-09-30,-1.1681
2014-10-01,-1.1819
2014-10-02,0.2042
2014-10-03,-0.3493
2014-10-06,-1.4022999999999999
2014-10-07,-0.7407
2014-10-08,-2.6269
2014-10-09,-4.5064
2014-10-10,1.2841
2014-10-13,-4.1521
2014-10-14,-1.1243
2014-10-15,-0.2676
2014-10-16,7.5117
2014-10-17,5.8952
2014-10-20,1.296
2014-10-21,-0.7851
2014-10-22,-0.0586
2014-10-23,2.4047
2014-10-24,-0.7159
2014-10-27,2.6536
2014-10-28,-0.1967
2014-10-29,0.5631
2014-10-30,1.3718
2014-10-31,0.9666
2014-11-03,-1.183
2014-11-04,-0.7513
2014-11-05,-0.6168
2014-11-06,-1.1566
2014-11-07,0.0285
2014-11-10,-0.1712
2014-11-11,-0.3144
2014-11-12,-0.4587
2014-11-13,-2.2177
2014-11-14,2.1502
