ticker,SSTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-07,30.7273
2017-06-08,-10.2921
2017-06-09,-4.3411
2017-06-12,1.7828
2017-06-13,11.7038
2017-06-14,3.2074
2017-06-15,-5.1105
2017-06-16,0.0
2017-06-19,5.1674
2017-06-20,-2.9758
2017-06-21,7.3466000000000005
2017-06-22,-3.9203
2017-06-23,-0.4149
2017-06-26,0.0
2017-06-27,-3.8194
2017-06-28,-7.7978
2017-06-29,0.0
2017-06-30,0.1566
2017-07-03,2.8929
2017-07-05,-2.5836
2017-07-06,-0.156
2017-07-07,1.0937000000000001
2017-07-10,-0.1546
2017-07-11,2.0124
2017-07-12,-0.9863
2017-07-13,8.3525
2017-07-14,-0.9901
2017-07-17,-3.3571
2017-07-18,-2.439
2017-07-19,-1.2121
2017-07-20,-0.0767
2017-07-21,-1.7652
2017-07-24,-1.25
2017-07-25,-2.2152
2017-07-26,-0.0809
2017-07-27,-2.753
2017-07-28,-0.0833
2017-07-31,-0.2917
2017-08-01,-11.4083
2017-08-02,-5.566
2017-08-03,5.1948
2017-08-04,6.1728
2017-08-07,-0.8945
2017-08-08,-2.9783
2017-08-09,5.7674
2017-08-10,-2.5506
2017-08-11,3.7906
2017-08-14,5.8261
2017-08-15,2.6294
2017-08-16,-3.0424
2017-08-17,-3.1379
2017-08-18,-1.1935
2017-08-21,4.5729
2017-08-22,-2.8878
2017-08-23,-0.5947
2017-08-24,2.5641
2017-08-25,0.0
2017-08-28,2.9167
2017-08-29,-1.9433
2017-08-30,-2.147
2017-08-31,-2.9536
2017-09-01,-0.1739
2017-09-05,-1.4808
2017-09-06,-3.2714
2017-09-07,1.7367
2017-09-08,-4.7619
2017-09-11,2.4528
2017-09-12,2.2099
2017-09-13,-0.1802
2017-09-14,0.8123
2017-09-15,-2.6858
2017-09-18,0.092
2017-09-19,8.8235
2017-09-20,-0.0845
2017-09-21,-2.2823
2017-09-22,1.2111
2017-09-25,-1.1966
2017-09-26,-0.6055
2017-09-27,3.0461
2017-09-28,8.699300000000001
2017-09-29,4.5066
2017-10-02,6.8401
2017-10-03,18.302
2017-10-04,-2.4706
2017-10-05,11.8215
2017-10-06,-1.5642
2017-10-09,-8.4932
2017-10-10,-3.5329
2017-10-11,-1.9863
2017-10-12,-1.8999000000000001
2017-10-13,0.7101
2017-10-16,0.3846
2017-10-17,3.0651
2017-10-18,2.4783
2017-10-19,-1.0278
2017-10-20,-0.6109
2017-10-23,-1.2907
2017-10-24,-3.8605
