ticker,AMSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-18,0.0
2005-11-21,3.3333
2005-11-22,-1.1828
2005-11-23,0.3264
2005-11-25,3.0369
2005-11-28,2.9474
2005-11-29,0.7157
2005-11-30,-0.203
2005-12-01,0.7121
2005-12-02,0.404
2005-12-05,1.1066
2005-12-06,-0.8955
2005-12-07,-0.2008
2005-12-08,0.503
2005-12-09,3.9039
2005-12-12,0.1927
2005-12-13,-1.9231
2005-12-14,0.9804
2005-12-15,-3.8834999999999997
2005-12-16,5.5556
2005-12-19,-0.0957
2005-12-20,-4.2146
2005-12-21,2.4
2005-12-22,-4.2969
2005-12-23,-2.2449
2005-12-27,-0.3132
2005-12-28,5.7592
2005-12-29,0.297
2005-12-30,-0.5923
2006-01-03,-2.6812
2006-01-04,-0.5102
2006-01-05,1.641
2006-01-06,1.9173
2006-01-09,0.5941
2006-01-10,0.0984
2006-01-11,-1.4748999999999999
2006-01-12,0.2994
2006-01-13,0.8955
2006-01-17,-1.6764999999999999
2006-01-18,0.3009
2006-01-19,1.0
2006-01-20,-0.9901
2006-01-23,-0.4
2006-01-24,1.3052000000000001
2006-01-25,-0.892
2006-01-26,16.4
2006-01-27,-11.6838
2006-01-30,-0.8755
2006-01-31,0.4907
2006-02-01,-1.8555000000000001
2006-02-02,1.393
2006-02-03,1.0795
2006-02-06,-2.6214
2006-02-07,-0.1994
2006-02-08,-0.4995
2006-02-09,-0.6024
2006-02-10,-3.5354
2006-02-13,-1.5707
2006-02-14,-3.617
2006-02-15,2.5385999999999997
2006-02-16,0.6445
2006-02-17,0.0013
2006-02-21,-4.0642
2006-02-22,0.6912
2006-02-23,-0.3543
2006-02-24,-2.7778
2006-02-27,-0.6857
2006-02-28,10.3567
2006-03-01,3.7539
2006-03-02,5.5276
2006-03-03,2.5714
2006-03-06,2.1356
2006-03-07,-2.7273
2006-03-08,-2.8971999999999998
2006-03-09,2.0212
2006-03-10,0.566
2006-03-13,-1.5009000000000001
2006-03-14,-2.3810000000000002
2006-03-15,0.6829
2006-03-16,2.7132
2006-03-17,4.3774
2006-03-20,-0.7592
2006-03-21,-0.7286
2006-03-22,1.4679
2006-03-23,-1.8083
2006-03-24,2.2099
2006-03-27,-3.2973
2006-03-28,0.1491
2006-03-29,-0.4651
2006-03-30,7.3832
2006-03-31,4.4386
2006-04-03,0.0
2006-04-04,3.9167
2006-04-05,-3.3681
2006-04-06,-0.4149
2006-04-07,1.8333
2006-04-10,-0.491
