ticker,EHOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-04,-80.0
2013-10-07,375.0
2013-10-08,5.2632
2013-10-09,-20.0
2013-10-10,0.0
2013-10-11,4.1667
2013-10-14,4.0
2013-10-15,-51.9231
2013-10-16,-12.0
2013-10-17,-21.8182
2013-10-18,22.093
2013-10-21,-4.7619
2013-10-22,-25.0
2013-10-23,-6.5
2013-10-24,6.9519
2013-10-25,20.0
2013-10-28,-11.1111
2013-10-29,-7.9688
2013-10-30,0.5093
2013-10-31,-18.9189
2013-11-01,0.0
2013-11-04,36.6667
2013-11-06,3.6585
2013-11-07,0.0
2013-11-08,11.7647
2013-11-11,-9.473700000000001
2013-11-12,-13.3721
2013-11-13,-19.4631
2013-11-14,-7.5
2013-11-15,-9.5721
2013-11-18,29.5143
2013-11-19,7.8846
2013-11-20,27.1836
2013-11-21,-1.3315000000000001
2013-11-22,7.5994
2013-11-26,-2.8383000000000003
2013-11-27,0.0
2013-11-29,-11.8207
2013-12-02,35.5932
2013-12-03,9.0909
2013-12-04,-4.1667
2013-12-05,8.5326
2013-12-06,0.1502
2013-12-09,0.0
2013-12-10,-12.0
2013-12-11,4.5455
2013-12-12,0.0
2013-12-13,-4.3478
2013-12-16,-7.3864
2013-12-17,-11.7791
2013-12-18,0.1391
2013-12-19,-11.1111
2013-12-20,-37.3438
2013-12-23,21.6958
2013-12-24,0.0
2013-12-26,1.6393
2013-12-27,20.9677
2013-12-30,-17.1667
2013-12-31,0.0
2014-01-02,-22.7364
2014-01-03,35.4167
2014-01-06,-7.6923
2014-01-08,-16.6667
2014-01-09,20.0
2014-01-10,-13.3333
2014-01-13,-23.0769
2014-01-14,-52.5
2014-01-15,84.8684
2014-01-16,27.758
2014-01-17,-11.1421
2014-01-21,0.3135
2014-01-22,-12.8125
2014-01-23,11.828
2014-01-24,-31.25
2014-01-27,-32.8671
2014-01-28,-23.2639
2014-01-29,-22.6244
2014-01-30,28.0702
2014-01-31,2.2831
2014-02-03,-3.5714
2014-02-04,-5.0926
2014-02-05,-18.0488
2014-02-06,-4.7619
2014-02-07,-8.75
2014-02-10,-10.274000000000001
2014-02-11,-0.7634
2014-02-12,10.7692
2014-02-13,-11.1111
2014-02-14,-12.5
2014-02-18,-18.75
2014-02-19,31.8681
2014-02-20,2.5
2014-02-21,-8.9431
2014-02-24,-14.2857
2014-02-25,21.875
2014-02-26,-9.4017
2014-02-27,-9.434
2014-02-28,-2.0833
2014-03-03,-9.5745
2014-03-04,3.5294
