ticker,DNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-01,15.2273
2020-07-02,6.9033999999999995
2020-07-06,1.0701
2020-07-07,-2.8843
2020-07-08,-0.4135
2020-07-09,-2.3028
2020-07-10,1.4297
2020-07-13,-2.9333
2020-07-14,-0.3532
2020-07-15,0.4332
2020-07-16,0.3529
2020-07-17,0.4689
2020-07-20,1.5558
2020-07-21,-1.6852
2020-07-22,0.0779
2020-07-23,-0.8953
2020-07-24,-1.2569
2020-07-27,0.5967
2020-07-28,-0.3163
2020-07-29,0.2777
2020-07-30,-2.413
2020-07-31,3.3644
