ticker,MDCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-12-08,-33.3333
2000-12-19,-50.0
2001-03-02,28.0
2001-03-06,75.0
2001-03-21,-42.8571
2001-04-09,-36.25
2001-04-18,0.0
2001-04-27,-49.0196
2001-08-02,0.0
2001-12-03,96.1538
2002-06-17,-64.7059
2002-06-18,144.4444
2002-06-19,15.9091
2002-06-20,9.8039
2002-06-25,-41.0714
2002-10-10,127.2727
2002-10-30,0.0
2002-11-01,0.0
2002-11-20,0.0
2002-12-04,-45.3333
2002-12-18,0.0
2003-01-31,-48.7805
2003-04-04,90.4762
2003-05-14,-47.5
2003-08-05,0.0
2004-02-12,19.0476
2004-06-09,104.0
2005-03-22,-41.1765
2005-04-05,0.0
2005-12-27,0.0
2006-01-03,0.0
2006-10-13,-16.6667
2007-01-29,104.0
2007-01-30,0.0
2007-02-06,-41.1765
2007-08-01,70.0
2007-11-02,478.4314
2007-11-05,0.0
2007-11-16,-65.7627
2007-12-19,-45.5446
2007-12-28,172.7273
2008-01-07,322.993
2008-03-04,-88.6792
2008-03-17,-33.3333
2008-08-19,0.0
2008-09-10,0.0
2009-01-22,-50.0
2009-03-24,20.0
2010-08-19,-16.6667
2011-02-11,400.0
2011-02-15,-74.5
2011-10-26,0.0
2011-12-16,0.0
2012-09-27,-68.6275
2012-12-24,0.0
2013-01-30,31.25
2013-06-18,0.0
2013-09-18,3971.4286
2013-09-24,16.9591
2013-10-02,-16.0
2013-10-03,0.0
2013-10-08,-9.5238
2013-10-18,-5.2632
2013-10-21,-8.3333
2013-10-22,-6.0606
2013-11-05,12.9032
2013-11-08,14.2857
2013-11-12,0.0
2013-11-13,-22.5
2014-01-02,12.9032
2014-01-09,51.4286
2014-01-13,-33.9623
2014-01-22,14.2857
2014-01-23,125.0
2014-01-24,121.1111
2014-01-27,-24.6231
2014-01-28,2.6667
2014-01-29,-5.8442
2014-01-30,13.7931
2014-01-31,-3.0303
2014-02-03,6.25
2014-02-04,0.0
2014-02-05,0.5882
2014-02-06,2.3392
2014-02-10,1.1429
2014-02-11,-14.6893
2014-02-12,-5.9603
2014-02-13,6.338
2014-02-14,-9.2715
2014-02-19,-7.2993
2014-02-20,18.1102
2014-02-21,-12.0
2014-02-24,66.6667
2014-02-25,-9.0909
2014-02-26,0.0
2014-02-27,-2.5
2014-02-28,2.0513
2014-03-03,21.1055
2014-03-04,44.8133
2014-03-05,0.2865
2014-03-06,3.7143
2014-03-07,-5.7851
2014-03-10,-18.4211
