ticker,BCEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-02,-3.1888
2017-05-03,-6.4295
2017-05-04,-7.2092
2017-05-05,2.6707
2017-05-08,7.4786
2017-05-09,1.1551
2017-05-10,4.5677
2017-05-11,1.3780999999999999
2017-05-12,-1.8979
2017-05-15,1.9346
2017-05-16,-1.5131999999999999
2017-05-17,-2.8906
2017-05-18,1.3945
2017-05-19,2.4861
2017-05-22,-0.3097
2017-05-23,-1.1649
2017-05-24,1.7025000000000001
2017-05-25,-2.5238
2017-05-26,-1.7437
2017-05-30,-0.6184
2017-05-31,-4.5184
2017-06-01,0.3117
2017-06-02,-0.904
2017-06-05,-0.4561
2017-06-06,1.9473
2017-06-07,-4.4663
2017-06-08,4.8809000000000005
2017-06-09,-2.0465
2017-06-12,1.0303
2017-06-13,-0.2266
2017-06-14,-3.6343
2017-06-15,-5.5392
2017-06-16,-2.4329
2017-06-19,-1.023
2017-06-20,-2.2933
2017-06-21,-2.5785
2017-06-22,-0.9501
2017-06-23,-0.4796
2017-06-26,-1.0327
2017-06-27,1.7043
2017-06-28,-0.9918
2017-06-29,2.3143000000000002
2017-06-30,7.056
2017-07-03,0.5992
2017-07-05,-1.6614
2017-07-06,-5.4829
2017-07-07,-6.0708
2017-07-10,0.4309
2017-07-11,1.6804000000000001
2017-07-12,0.7384
2017-07-13,3.1414
2017-07-14,0.8122
2017-07-17,-2.3162
2017-07-18,-3.8832
2017-07-19,1.2513
2017-07-20,0.2119
2017-07-21,-6.5187
2017-07-24,-1.0177
2017-07-25,4.5316
2017-07-26,0.9836
2017-07-27,2.4531
2017-07-28,0.5634
2017-07-31,1.6806999999999999
2017-08-01,0.9986
2017-08-02,-0.1705
2017-08-03,-3.0738
2017-08-04,0.4228
2017-08-07,-3.2281
2017-08-08,-1.2328000000000001
2017-08-09,4.4053
2017-08-10,4.2194
2017-08-11,1.6194
2017-08-14,-4.9469
2017-08-15,-4.7503
2017-08-16,-4.8772
2017-08-17,-3.3539
2017-08-18,-1.9944
2017-08-21,1.0582
2017-08-22,-1.2485
2017-08-23,0.7341
2017-08-24,2.2672
2017-08-25,2.5732
2017-08-28,-4.8244
2017-08-29,-2.6764
2017-08-30,1.8333
2017-08-31,6.3421
2017-09-01,5.2713
2017-09-05,4.5687
2017-09-06,2.4816
2017-09-07,-1.2278
2017-09-08,-4.1782
2017-09-11,4.6486
2017-09-12,0.4821
2017-09-13,1.0281
2017-09-14,1.0516
2017-09-15,0.4028
