ticker,ENSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-09,0.875
2007-11-12,-0.062
2007-11-13,3.2237999999999998
2007-11-14,-0.3003
2007-11-15,-1.2048
2007-11-16,0.4878
2007-11-19,-0.9709
2007-11-20,-0.4902
2007-11-21,-1.1084
2007-11-23,0.1245
2007-11-26,0.1244
2007-11-27,-0.0621
2007-11-28,0.0622
2007-11-29,1.2422
2007-11-30,1.227
2007-12-03,0.0008
2007-12-04,-0.0008
2007-12-05,-2.1212
2007-12-06,0.1238
2007-12-07,-0.6803
2007-12-10,0.8717
2007-12-11,-0.9259
2007-12-12,-1.8692
2007-12-13,-3.1111
2007-12-14,2.228
2007-12-17,0.1282
2007-12-18,-7.0423
2007-12-19,-3.3747
2007-12-20,-5.5595
2007-12-21,-8.6792
2007-12-24,19.1736
2007-12-26,2.6352
2007-12-27,-5.4054
2007-12-28,1.2178
2007-12-31,1.9108
2008-01-02,-4.5139
2008-01-03,-8.0
2008-01-04,-13.0435
2008-01-07,3.5455
2008-01-08,-2.3705
2008-01-09,1.3489
2008-01-10,-0.5324
2008-01-11,-3.9251
2008-01-14,2.0427
2008-01-15,-3.7307
2008-01-16,1.1342
2008-01-17,0.8411
2008-01-18,1.5755
2008-01-22,0.6387
2008-01-23,-3.2638
2008-01-24,-0.3749
2008-01-25,-1.4111
2008-01-28,0.6679
2008-01-29,0.0
2008-01-30,-1.8957000000000002
2008-01-31,-5.2174
2008-02-01,-0.2039
2008-02-04,3.9837
2008-02-05,-3.1434
2008-02-06,-0.2028
2008-02-07,1.4228
2008-02-08,0.5511
2008-02-11,-1.8435000000000001
2008-02-12,1.3197999999999999
2008-02-13,0.1002
2008-02-14,-2.4024
2008-02-15,-6.7692
2008-02-19,-1.7602
2008-02-20,1.9037
2008-02-21,1.8681
2008-02-22,-2.589
2008-02-25,2.7685
2008-02-26,-1.5086
2008-02-27,-0.6565
2008-02-28,-2.8634
2008-02-29,-1.8141
2008-03-03,-6.1201
2008-03-04,-1.599
2008-03-05,-0.375
2008-03-06,-5.6462
2008-03-07,15.0266
2008-03-10,3.5838
2008-03-11,12.3884
2008-03-12,4.7666
2008-03-13,2.3697
2008-03-14,-2.6852
2008-03-17,-10.3711
2008-03-18,0.8493
2008-03-19,-2.1053
2008-03-20,-2.9032
2008-03-24,1.3289
2008-03-25,0.1093
2008-03-26,-0.1092
2008-03-27,-3.8251
2008-03-28,1.3699
2008-03-31,4.3919
2008-04-01,2.2654
2008-04-02,-0.8439
