ticker,CNTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-19,0.0
2012-10-22,0.0
2013-04-22,900.0
2013-04-23,80.0
2013-04-24,33.3333
2013-04-25,6.6667
2013-04-26,9.375
2013-04-29,-7.1429
2013-04-30,12.3077
2013-05-01,2.7397
2013-05-02,1.3333
2013-05-03,5.2632
2013-05-06,6.25
2013-05-07,0.0
2013-05-08,5.8824
2013-05-09,0.0
2013-05-10,7.7778
2013-05-13,-4.1237
2013-05-14,12.9032
2013-05-15,1.9048
2013-05-16,-6.5421
2013-05-17,0.0
2013-05-20,5.0
2013-05-21,0.9524
2013-05-22,2.8302
2013-05-23,-0.9174
2013-05-24,-7.4074
2013-05-28,6.0
2013-05-29,-7.5472
2013-05-30,-8.1633
2013-05-31,-4.4444
2013-06-03,1.1628
2013-06-04,5.7471
2013-06-05,0.0
2013-06-06,0.5435
2013-06-07,-7.027
2013-06-10,-2.3256
2013-06-11,-0.119
2013-06-12,6.0787
2013-06-13,-2.2472
2013-06-14,2.2989
2013-06-17,-12.3596
2013-06-18,6.4103
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,3.6145
2013-06-24,-29.0698
2013-06-25,0.0205
2013-06-26,-6.4741
2013-06-27,33.1873
2013-06-28,-9.2105
2013-07-01,-5.7971
2013-07-02,-6.1538
2013-07-03,0.0
2013-07-05,-16.373
2013-07-08,-29.4291
2013-07-09,11.1111
2013-07-10,0.0
2013-07-11,-18.75
2013-07-12,16.9231
2013-07-15,18.4211
2013-07-16,-33.3333
2013-07-17,0.0
2013-07-18,-3.3333
2013-07-19,-13.7931
2013-07-22,12.0
2013-07-23,0.0
2013-07-25,-42.8571
2013-07-26,62.5
2013-07-29,-11.538499999999999
2013-07-30,-10.8696
2013-07-31,-22.0427
2013-08-01,-24.912
2013-08-02,0.0
2013-08-05,50.0
2013-08-08,-33.3333
2013-08-09,41.6667
2013-08-12,-29.4118
2013-08-13,45.8333
2013-08-15,8.5714
2013-08-16,0.0
2013-08-22,-2.6316
2013-08-26,0.0
2013-09-03,-18.9189
2013-09-06,6.6667
2013-09-11,0.0
2013-09-12,-18.75
2013-09-13,-7.6923
2013-09-16,0.0
2013-09-19,25.0
2013-09-20,-6.6667
2013-09-24,-14.2857
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-10-07,16.6667
2013-10-08,0.0
2013-10-09,-14.2857
2013-10-10,0.0
2013-10-11,0.0
2013-10-14,16.6667
2013-10-16,-7.1429
2013-10-21,92.3077
