ticker,CBSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-05,13.6364
2000-01-06,-37.5
2000-01-07,60.0
2000-01-10,-20.0
2000-01-11,40.625
2000-01-13,6.6667
2000-01-18,-33.3333
2000-01-19,0.0
2000-01-24,50.0
2000-01-26,-33.3333
2000-01-28,50.0
2000-02-07,-6.25
2000-02-11,-50.2222
2000-02-22,85.7143
2000-03-03,-84.6154
2000-03-07,525.0
2000-03-13,250.0
2000-03-14,14.2857
2000-03-16,0.0
2000-03-21,12.5
2000-03-22,-11.1111
2000-03-28,-50.0
2000-05-16,-88.0
2000-05-24,-33.3333
2000-06-12,837.5
2000-07-11,-89.3333
2000-07-18,250.0
2000-07-27,100.0
2000-08-03,-55.3571
2000-08-10,0.0
2000-09-18,-20.0
2000-09-29,20.0
2000-10-25,-16.6667
2000-12-01,100.0
2000-12-27,-60.0
2001-02-01,25.0
2001-03-14,-60.0
2001-09-28,0.0
2001-11-16,0.0
2001-11-29,-25.0
2001-12-05,166.6667
2002-04-30,-62.5
2002-05-08,0.0
2002-07-26,0.0
2002-09-30,-33.3333
2002-10-18,0.0
2002-12-02,0.0
2002-12-18,-50.0
2003-03-19,0.0
2003-06-09,0.0
2003-06-23,0.0
2003-10-24,0.0
2003-11-12,-80.0
2003-12-09,0.0
2004-03-30,0.0
2004-08-16,0.0
2004-11-16,0.0
2004-12-06,0.0
2005-05-23,200.0
2005-07-05,-33.3333
2005-08-08,0.0
2005-12-30,-15.625
2006-01-18,0.0
2006-04-06,18.5185
2006-07-13,-15.625
2006-10-26,1085.1852
2006-10-27,-55.0
2007-01-18,233.3333
2007-01-19,100.0
2007-01-22,0.0
2007-01-23,-58.3333
2007-01-24,0.0
2007-01-25,0.0
2007-01-30,0.0
2007-02-02,0.0
2007-02-06,0.0
2007-02-09,0.0
2007-02-13,-20.0
2007-03-09,-10.0
2007-03-27,0.0
2007-04-03,0.0
2007-04-23,5.5556
2007-05-21,-5.2632
2007-05-23,0.0
2007-06-14,0.0
2007-06-27,0.0
2007-07-25,0.0
2007-07-31,0.0
2007-11-13,0.0
2007-12-11,-5.5556
2007-12-18,-29.4118
2008-01-15,-16.6667
2008-02-27,0.0
2008-03-19,-50.0
2008-04-09,0.0
2008-08-27,0.0
2008-08-29,0.0
2008-10-14,0.0
2008-12-08,0.0
2008-12-09,0.0
2008-12-18,-60.0
2008-12-26,0.0
2009-01-21,0.0
2009-01-26,-50.0
2009-11-19,-12.5
