ticker,SYCRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-02,0.0
2006-08-03,0.0
2006-08-04,1.2195
2006-08-07,2.1687
2006-08-08,0.5189
2006-08-09,2.6748
2006-08-10,0.0914
2006-08-11,-3.1963
2006-08-14,-0.4245
2006-08-15,-0.5211
2006-08-16,0.619
2006-08-17,1.7984
2006-08-18,1.8131
2006-08-21,0.5023
2006-08-22,-1.1813
2006-08-23,1.1494
2006-08-24,0.4545
2006-08-25,0.4525
2006-08-28,-1.0811
2006-08-29,0.8652
2006-08-30,-1.3093
2006-08-31,-0.0457
2006-09-01,1.5561
2006-09-05,-1.4421
2006-09-06,0.823
2006-09-07,0.4535
2006-09-08,-0.2709
2006-09-11,1.177
2006-09-12,0.8949
2006-09-13,0.133
2006-09-14,0.0886
2006-09-15,1.7699
2006-09-18,1.5652
2006-09-19,0.6849
2006-09-20,0.1276
2006-09-21,0.8068
2006-09-22,-2.064
2006-09-25,-0.2151
2006-09-26,1.2931
2006-09-27,2.1277
2006-09-28,-0.3333
2006-09-29,0.1254
2006-10-02,0.2923
2006-10-03,-1.9983
2006-10-04,0.9771
2006-10-05,0.9676
2006-10-06,-0.9583
2006-10-09,-0.5048
2006-10-10,1.9026999999999998
2006-10-11,-0.8299
2006-10-12,-0.795
2006-10-13,0.9701
2006-10-16,0.1671
2006-10-17,-0.3336
2006-10-18,1.2551999999999999
2006-10-19,-0.8264
2006-10-20,-0.0417
2006-10-23,-2.0842
2006-10-24,6.3857
2006-10-25,1.0404
2006-10-26,-0.396
2006-10-27,-0.5964
2006-10-30,0.48
2006-10-31,0.3185
2006-11-01,-0.1984
2006-11-02,-0.5169
2006-11-03,0.4796
2006-11-06,-0.358
2006-11-07,0.2395
2006-11-08,-0.0796
2006-11-09,-0.1993
2006-11-10,0.7588
2006-11-13,0.4756
2006-11-14,0.0
2006-11-15,0.0
2006-11-16,0.0
2006-11-17,-1.1045
2006-11-20,-2.0343
2006-11-21,2.6466
2006-11-22,-1.2692999999999999
2006-11-24,1.0446
2006-11-27,-0.3976
2006-11-28,0.1597
2006-11-29,0.6776
2006-11-30,0.4751
2006-12-01,-0.591
2006-12-04,-0.1585
2006-12-05,-0.0794
2006-12-06,0.3178
2006-12-07,-0.3564
2006-12-08,2.6253
2006-12-11,0.7752
2006-12-12,-0.3846
2006-12-13,0.0
2006-12-14,-0.1931
2006-12-15,-0.2708
2006-12-18,0.8534
2006-12-19,-0.9615
2006-12-20,5.2816
2006-12-21,3.1723
