ticker,GDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-02,4.1
2016-11-03,-0.0961
2016-11-04,-3.8462
2016-11-07,-2.6
2016-11-08,0.0
2016-11-09,-1.0267
2016-11-10,0.8299
2016-11-11,-0.7202
2016-11-14,-1.0363
2016-11-15,-1.3613
2016-11-16,-6.2633
2016-11-17,-0.1133
2016-11-18,3.0612
2016-11-21,3.8504
2016-11-22,3.8136
2016-11-23,4.4898
2016-11-25,0.8789
2016-11-28,-3.001
2016-11-29,-0.0998
2016-11-30,0.0999
2016-12-01,-0.0998
2016-12-02,-0.0999
2016-12-05,-0.7
2016-12-06,0.2014
2016-12-07,0.5025
2016-12-08,-2.0
2016-12-09,1.9388
2016-12-12,-3.1031
2016-12-13,1.4463
2016-12-14,-2.1385
2016-12-15,-0.5203
2016-12-16,0.2092
2016-12-19,-3.8622
2016-12-20,-3.8002000000000002
2016-12-21,-9.1422
2016-12-22,0.4969
2016-12-23,0.9889
2016-12-27,5.8751999999999995
2016-12-28,0.8092
2016-12-29,2.4083
2016-12-30,-3.6954000000000002
2017-01-03,-1.2791000000000001
2017-01-04,-2.2968
2017-01-05,2.4714
2017-01-06,-1.4118
2017-01-09,-2.148
2017-01-10,-1.2195
2017-01-11,-1.1111
2017-01-12,-0.7491
2017-01-13,0.6289
2017-01-17,0.625
2017-01-18,-0.9938
2017-01-19,-2.0075
2017-01-20,4.8656
2017-01-23,-0.4884
2017-01-24,0.2454
2017-01-25,0.0
2017-01-26,-4.284
2017-01-27,1.2788
2017-01-30,0.8838
2017-01-31,3.3792
2017-02-01,-2.6634
2017-02-02,-0.1244
2017-02-03,-0.2491
2017-02-06,-0.2497
2017-02-07,10.1377
2017-02-08,-5.0
2017-02-09,-0.5981
2017-02-10,0.0
2017-02-13,-0.722
2017-02-14,1.5758
2017-02-15,-1.79
2017-02-16,2.4301
2017-02-17,-1.7793999999999999
2017-02-21,-0.9662
2017-02-22,0.6098
2017-02-23,-2.7879
2017-02-24,1.6209
2017-02-27,-2.454
2017-02-28,-2.2641999999999998
2017-03-01,-1.5444
2017-03-02,4.0523
2017-03-03,-0.1256
2017-03-06,0.5031
2017-03-07,-0.5006
2017-03-08,-0.8805
2017-03-09,-0.8883
2017-03-10,-1.5365
2017-03-13,1.1703999999999999
2017-03-14,8.8689
2017-03-15,-1.771
2017-03-16,-1.4423
2017-03-17,2.9268
2017-03-20,-0.4739
2017-03-21,-3.0952
2017-03-22,-1.4742
2017-03-23,2.2444
