ticker,CSOD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-17,46.6923
2011-03-18,-4.2999
2011-03-21,-0.3288
2011-03-22,-0.7147
2011-03-23,-0.6645
2011-03-24,6.0201
2011-03-25,-2.734
2011-03-28,0.1622
2011-03-29,-0.9714
2011-03-30,1.2262
2011-03-31,-1.8573
2011-04-01,-2.4685
2011-04-04,4.4432
2011-04-05,1.6155
2011-04-06,1.1129
2011-04-07,-1.6247
2011-04-08,-0.3729
2011-04-11,-0.7487
2011-04-12,-2.8825
2011-04-13,0.9709
2011-04-14,-0.8791
2011-04-15,-1.3304
2011-04-18,-2.3034
2011-04-19,0.1725
2011-04-20,4.9943
2011-04-21,-1.5309
2011-04-25,0.7773
2011-04-26,0.0551
2011-04-27,3.0837
2011-04-28,0.9615
2011-04-29,1.2698
2011-05-02,5.1724
2011-05-03,0.6955
2011-05-04,6.1174
2011-05-05,-0.3719
2011-05-06,-1.5399
2011-05-09,0.6161
2011-05-10,0.3297
2011-05-11,6.7606
2011-05-12,-6.1566
2011-05-13,-5.8107
2011-05-16,-2.4876
2011-05-17,0.5102
2011-05-18,-0.1523
2011-05-19,0.0508
2011-05-20,0.5589
2011-05-23,1.0611
2011-05-24,-4.2
2011-05-25,-0.261
2011-05-26,3.5583
2011-05-27,-1.4654
2011-05-31,-0.9744
2011-06-01,1.0875
2011-06-02,-1.332
2011-06-03,-0.8827
2011-06-06,0.681
2011-06-07,-5.6712
2011-06-08,0.6619
2011-06-09,3.5068
2011-06-10,-0.2118
2011-06-13,-1.7507000000000001
2011-06-14,6.8575
2011-06-15,-6.3669
2011-06-16,-2.1047
2011-06-17,-3.5832
2011-06-20,1.7153
2011-06-21,1.6301
2011-06-22,5.365
2011-06-23,-2.5722
2011-06-24,-5.3879
2011-06-27,4.8975
2011-06-28,1.2486
2011-06-29,-2.0375
2011-06-30,-3.3935
2011-07-01,1.5297
2011-07-05,1.0603
2011-07-06,1.6013
2011-07-07,3.9130000000000003
2011-07-08,-0.523
2011-07-11,-3.1546
2011-07-12,1.7372
2011-07-13,1.0139
2011-07-14,-0.2113
2011-07-15,-2.4881
2011-07-18,-5.3203
2011-07-19,11.6972
2011-07-20,-7.3408999999999995
2011-07-21,-2.2161
2011-07-22,-3.1728
2011-07-25,3.1597
2011-07-26,1.9285
2011-07-27,-6.177
2011-07-28,-5.9905
2011-07-29,3.4699999999999998
2011-08-01,4.6341
2011-08-02,-4.021
2011-08-03,1.1536
2011-08-04,-3.2413
