ticker,RELL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3333
2000-01-04,6.8966
2000-01-05,3.2258
2000-01-06,0.0
2000-01-07,-0.7813
2000-01-10,-3.1496
2000-01-11,-1.626
2000-01-12,0.8264
2000-01-13,-1.6393
2000-01-14,6.6667
2000-01-18,-3.125
2000-01-19,-4.8387
2000-01-20,5.0847
2000-01-21,0.4032
2000-01-24,-1.2048
2000-01-25,-2.439
2000-01-26,1.6667
2000-01-27,-3.6885
2000-01-28,0.4255
2000-01-31,-5.0847
2000-02-01,0.8929
2000-02-02,2.6549
2000-02-03,3.4483
2000-02-04,3.3333
2000-02-07,0.0
2000-02-08,-4.0323
2000-02-09,-1.9832
2000-02-10,-0.8621
2000-02-11,-0.8696
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,1.7544
2000-02-17,6.8966
2000-02-18,5.6452
2000-02-22,-3.0534
2000-02-23,0.0
2000-02-24,11.811
2000-02-25,11.2676
2000-02-28,1.2658
2000-02-29,0.0
2000-03-01,8.125
2000-03-02,0.578
2000-03-03,10.9195
2000-03-06,-7.772
2000-03-07,-3.3708
2000-03-08,-1.1628
2000-03-09,-0.5882
2000-03-10,4.142
2000-03-13,-1.1364
2000-03-14,1.7241
2000-03-15,0.565
2000-03-16,2.2472
2000-03-17,-2.1978
2000-03-20,1.6854
2000-03-21,-2.7624
2000-03-22,2.2727
2000-03-23,7.7778
2000-03-24,0.5155
2000-03-27,-6.6667
2000-03-28,1.0989
2000-03-29,0.5435
2000-03-30,-7.027
2000-03-31,2.3256
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,-3.4091
2000-04-06,0.5882
2000-04-07,0.5848
2000-04-10,9.3023
2000-04-11,2.1277
2000-04-12,-1.5625
2000-04-13,0.5291
2000-04-14,-6.3158
2000-04-17,3.3708
2000-04-18,4.8913
2000-04-19,-3.1088
2000-04-20,2.6738
2000-04-24,-5.2083
2000-04-25,6.044
2000-04-26,9.8446
2000-04-27,-2.3585
2000-04-28,-1.9324
2000-05-01,1.4778
2000-05-02,-2.9126
2000-05-03,-3.0
2000-05-04,0.0
2000-05-05,0.5155
2000-05-08,0.0
2000-05-09,-1.0256
2000-05-10,-8.4767
2000-05-11,5.6818
2000-05-12,-3.2258
2000-05-15,2.2222
2000-05-16,-1.6303999999999998
2000-05-17,7.1823
2000-05-18,-0.5155
2000-05-19,-2.0725
2000-05-22,-4.2328
2000-05-23,0.0
2000-05-24,-1.105
2000-05-25,5.0279
