ticker,LBTYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-17,2.1244
2005-06-20,1.4950999999999999
2005-06-21,0.5337
2005-06-22,1.3803
2005-06-23,0.4399
2005-06-24,-0.3128
2005-06-27,-2.6151
2005-06-28,0.1289
2005-06-29,0.0215
2005-06-30,-0.0215
2005-07-01,0.0215
2005-07-05,-0.7937
2005-07-06,-0.4973
2005-07-07,1.5645
2005-07-08,1.2409
2005-07-11,0.7819
2005-07-12,0.5452
2005-07-13,-0.8551
2005-07-14,-1.6618
2005-07-15,0.5561
2005-07-18,0.0
2005-07-19,0.1276
2005-07-20,1.3384
2005-07-21,-0.6289
2005-07-22,2.5105
2005-07-25,-0.8232
2005-07-26,0.8923
2005-07-27,-0.9667
2005-07-28,-0.3531
2005-07-29,-1.1255
2005-08-01,0.0422
2005-08-02,1.2221
2005-08-03,-0.1249
2005-08-04,-0.1251
2005-08-05,-1.8364
2005-08-08,-0.1913
2005-08-09,-0.1278
2005-08-10,0.0853
2005-08-11,3.4519
2005-08-12,0.0618
2005-08-15,0.3499
2005-08-16,-0.3282
2005-08-17,0.6792
2005-08-18,-1.063
2005-08-19,-0.4132
2005-08-22,0.9336
2005-08-23,0.3905
2005-08-24,-0.1229
2005-08-25,-0.0205
2005-08-26,-0.2255
2005-08-29,1.2741
2005-08-30,1.2378
2005-08-31,1.7238
2005-09-01,0.0788
2005-09-02,0.1575
2005-09-06,2.3393
2005-09-07,-0.6701
2005-09-08,-4.3478
2005-09-09,-0.8621
2005-09-12,5.1383
2005-09-13,0.6015
2005-09-14,1.2706
2005-09-15,-1.0332
2005-09-16,1.3423
2005-09-19,-3.2745
2005-09-20,1.1411
2005-09-21,-0.9026
2005-09-22,-1.2144
2005-09-23,1.4983
2005-09-26,-1.022
2005-09-27,-0.2677
2005-09-28,-0.1917
2005-09-29,-1.6135000000000002
2005-09-30,5.779
2005-10-03,-1.1074
2005-10-04,0.2986
2005-10-05,-0.5955
2005-10-06,-0.8985
2005-10-07,-1.3978
2005-10-10,-0.2299
2005-10-11,-0.1152
2005-10-12,-2.7297000000000002
2005-10-13,-3.004
2005-10-14,1.3855
2005-10-17,-1.5675
2005-10-18,-0.2858
2005-10-19,1.5152
2005-10-20,0.2824
2005-10-21,0.9654
2005-10-24,1.6733
2005-10-25,0.1567
2005-10-26,-0.7042
2005-10-27,-3.1127
2005-10-28,-0.4067
2005-10-31,1.1842
2005-11-01,-1.4123999999999999
2005-11-02,1.1052
2005-11-03,1.7814
