ticker,BLCM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-18,25.6842
2014-12-19,-17.2111
2014-12-22,1.7198
2014-12-23,-4.9229
2014-12-24,0.9414
2014-12-26,10.4145
2014-12-29,10.183
2014-12-30,-2.0443
2014-12-31,0.1739
2015-01-02,-0.7812
2015-01-05,9.4926
2015-01-06,4.6344
2015-01-07,3.0928
2015-01-08,6.0741
2015-01-09,10.8589
2015-01-12,-1.3228
2015-01-13,-0.9895
2015-01-14,-1.9665
2015-01-15,-11.6409
2015-01-16,8.4109
2015-01-20,-9.2688
2015-01-21,-13.2804
2015-01-22,-1.3525
2015-01-23,6.6785
2015-01-26,8.0846
2015-01-27,-0.7288
2015-01-28,-3.7866999999999997
2015-01-29,1.1647
2015-01-30,-1.9055
2015-02-02,-6.4346
2015-02-03,-0.1298
2015-02-04,-4.071
2015-02-05,5.2822
2015-02-06,-4.5026
2015-02-09,-3.9066
2015-02-10,-1.5888
2015-02-11,0.5698
2015-02-12,-1.7469000000000001
2015-02-13,-3.8924
2015-02-17,0.9
2015-02-18,4.3112
2015-02-19,6.1283
2015-02-20,-5.7296
2015-02-23,3.6087
2015-02-24,7.5619
2015-02-25,1.1078000000000001
2015-02-26,-2.8656
2015-02-27,0.7375
2015-03-02,-2.9285
2015-03-03,3.8154
2015-03-04,3.9316
2015-03-05,0.1234
2015-03-06,0.5339
2015-03-09,-0.531
2015-03-10,0.9856
2015-03-11,-5.002
2015-03-12,0.6849
2015-03-13,-2.9337
2015-03-16,8.41
2015-03-17,0.7677
2015-03-18,-2.085
2015-03-19,6.0606
2015-03-20,-2.7413
2015-03-23,-6.2722999999999995
2015-03-24,1.7789000000000001
2015-03-25,-3.454
2015-03-26,-4.3534
2015-03-27,1.2168
2015-03-30,0.8459
2015-03-31,2.2958
2015-04-01,-0.4748
2015-04-02,0.3903
2015-04-06,1.987
2015-04-07,-0.2541
2015-04-08,4.1189
2015-04-09,-1.3051
2015-04-10,2.8099
2015-04-13,5.3457
2015-04-14,-1.3735
2015-04-15,-0.5416
2015-04-16,0.9335
2015-04-17,-0.501
2015-04-20,2.8273
2015-04-21,-2.2222
2015-04-22,9.9769
2015-04-23,-0.7356
2015-04-24,-1.6231
2015-04-27,-5.3443
2015-04-28,-4.8882
2015-04-29,-0.6375
2015-04-30,-3.8491999999999997
2015-05-01,-3.7531
2015-05-04,0.0433
2015-05-05,-2.382
2015-05-06,3.638
2015-05-07,0.4709
2015-05-08,4.772
2015-05-11,1.5047000000000001
