ticker,ITEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-08,888.0
2011-11-09,-10.526299999999999
2011-11-16,-98.2353
2011-11-17,486.6667
2011-11-18,9.6591
2011-11-21,-7.2539
2011-11-22,0.0
2011-11-23,-2.7933
2011-11-25,3.4483
2011-11-28,2.2222
2011-11-29,-3.2609
2011-11-30,28.651699999999998
2011-12-01,-3.4934
2011-12-02,13.405
2011-12-05,14.4389
2011-12-06,38.0693
2011-12-07,57.8283
2011-12-08,-58.4
2011-12-09,40.3846
2011-12-12,31.5068
2011-12-13,-38.5417
2011-12-14,-37.6271
2011-12-15,-29.8913
2011-12-16,20.155
2011-12-19,-22.5806
2011-12-20,-12.5
2011-12-21,-23.8095
2011-12-22,12.5
2011-12-23,28.8889
2011-12-27,-24.1379
2011-12-28,-14.7727
2011-12-29,-2.6667
2011-12-30,-4.1096
2012-01-03,-26.4286
2012-01-04,8.7379
2012-01-05,3.5714
2012-01-06,-1.7241
2012-01-09,5.2632
2012-01-10,24.6875
2012-01-11,52.381
2012-01-12,21.9298
2012-01-13,-11.5108
2012-01-17,-26.8293
2012-01-18,-7.7778
2012-01-19,-10.8434
2012-01-20,21.6216
2012-01-23,-11.1111
2012-01-24,0.0
2012-01-25,-1.25
2012-01-26,3.7975
2012-01-27,-4.878
2012-01-30,-4.0064
2012-01-31,2.8381
2012-02-01,-6.737
2012-02-02,-8.094
2012-02-03,7.5758
2012-02-06,-2.8169
2012-02-07,-8.6957
2012-02-08,0.0
2012-02-09,-4.4643
2012-02-10,-3.6345
2012-02-13,-1.7241
2012-02-14,-2.8509
2012-02-15,-7.9007
2012-02-16,3.9215999999999998
2012-02-17,-1.8868
2012-02-21,-4.8077
2012-02-22,-11.1111
2012-02-23,-1.4205
2012-02-24,-6.9164
2012-02-27,17.647100000000002
2012-02-28,-7.3684
2012-02-29,2.2727
2012-03-01,8.8889
2012-03-02,22.449
2012-03-05,15.0
2012-03-06,8.5145
2012-03-07,-14.5242
2012-03-08,-6.25
2012-03-09,-3.3333
2012-03-12,-9.4828
2012-03-13,-8.5714
2012-03-14,10.4167
2012-03-15,0.0
2012-03-16,-15.0943
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,-3.3333
2012-03-22,-4.5977
2012-03-23,2.4096
2012-03-26,17.647100000000002
2012-03-27,-10.0
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,-11.1111
2012-04-02,-6.25
2012-04-03,14.6667
2012-04-04,-6.9767
2012-04-05,0.0
