ticker,JAMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-22,50.7692
2020-07-23,1.7347000000000001
2020-07-24,-0.4514
2020-07-27,1.4861
2020-07-28,0.5212
2020-07-29,-0.4938
2020-07-30,2.4318
2020-07-31,-1.6473
