ticker,DFODQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.6814
2000-01-04,-2.9173
2000-01-05,6.01
2000-01-06,0.0
2000-01-07,1.7323
2000-01-10,1.0836
2000-01-11,3.5221999999999998
2000-01-12,1.1834
2000-01-13,1.6082
2000-01-14,-0.7194
2000-01-18,-0.5797
2000-01-19,0.1458
2000-01-20,-1.0189
2000-01-21,-1.1764999999999999
2000-01-24,-0.8929
2000-01-25,-1.5015
2000-01-26,-0.9146
2000-01-27,2.6154
2000-01-28,-0.4498
2000-01-31,-0.9036
2000-02-01,1.9757
2000-02-02,2.3845
2000-02-03,0.8734
2000-02-04,0.5772
2000-02-07,0.8608
2000-02-08,0.1422
2000-02-09,-0.4261
2000-02-10,-1.1412
2000-02-11,-2.3088
2000-02-14,-1.7725
2000-02-15,0.7519
2000-02-16,-1.0448
2000-02-17,1.3575
2000-02-18,-1.3393
2000-02-22,1.81
2000-02-23,-2.3704
2000-02-24,-6.9803
2000-02-25,-0.4894
2000-02-28,0.6557
2000-02-29,1.9544000000000001
2000-03-01,1.9169
2000-03-02,-1.2539
2000-03-03,-0.4762
2000-03-06,-2.3923
2000-03-07,-3.7582
2000-03-08,-0.1698
2000-03-09,10.5442
2000-03-10,-4.7692
2000-03-13,-3.5541
2000-03-14,-2.8476
2000-03-15,4.8276
2000-03-16,7.2368
2000-03-17,-2.454
2000-03-20,-0.9434
2000-03-21,-1.2698
2000-03-22,0.6431
2000-03-23,1.1182
2000-03-24,-0.9479
2000-03-27,-2.2329
2000-03-28,2.447
2000-03-29,-1.7516
2000-03-30,3.7277
2000-03-31,0.625
2000-04-03,0.1553
2000-04-04,-1.5504
2000-04-05,2.2047
2000-04-06,1.0786
2000-04-07,-2.1341
2000-04-10,1.2461
2000-04-11,-2.1538
2000-04-12,0.0
2000-04-13,1.2579
2000-04-14,-2.9503
2000-04-17,2.56
2000-04-18,0.156
2000-04-19,1.0903
2000-04-20,-0.9245
2000-04-24,-2.6439
2000-04-25,-0.4792
2000-04-26,0.0
2000-04-27,-0.1605
2000-04-28,0.1608
2000-05-01,0.6421
2000-05-02,3.0303
2000-05-03,-1.3932
2000-05-04,5.3375
2000-05-05,-0.7452
2000-05-08,0.0
2000-05-09,0.4505
2000-05-10,-2.2422
2000-05-11,0.1529
2000-05-12,-1.0687
2000-05-15,8.179
2000-05-16,-1.9971
2000-05-17,0.4367
2000-05-18,0.5797
2000-05-19,1.7290999999999999
2000-05-22,1.6997
