ticker,EPAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-4.3403
2000-01-05,14.3376
2000-01-06,2.2222
2000-01-07,3.7267
2000-01-10,3.5928
2000-01-11,-8.237
2000-01-12,-2.0472
2000-01-13,7.8778
2000-01-14,-3.7258
2000-01-18,-0.3096
2000-01-19,-4.6584
2000-01-20,2.2801
2000-01-21,1.2739
2000-01-24,-4.4025
2000-01-25,-0.9868
2000-01-26,2.99
2000-01-27,-4.5161
2000-01-28,-2.7027
2000-01-31,-12.6736
2000-02-01,6.9583
2000-02-02,1.1152
2000-02-03,-1.4706000000000001
2000-02-04,14.1791
2000-02-07,10.7843
2000-02-08,1.7699
2000-02-09,8.6957
2000-02-10,-5.6
2000-02-11,-3.9548
2000-02-14,-1.4706000000000001
2000-02-15,-5.6716
2000-02-16,6.8038
2000-02-17,1.9259
2000-02-18,-3.4884
2000-02-22,-3.6145
2000-02-23,-1.25
2000-02-24,0.7911
2000-02-25,0.471
2000-02-28,-2.5
2000-02-29,0.1603
2000-03-01,3.52
2000-03-02,3.0912
2000-03-03,2.099
2000-03-06,11.6006
2000-03-07,1.5789
2000-03-08,-6.7358
2000-03-09,-0.2778
2000-03-10,-2.507
2000-03-13,4.1429
2000-03-14,6.8587
2000-03-15,-2.6958
2000-03-16,-0.3958
2000-03-17,3.3113
2000-03-20,-4.1026
2000-03-21,-5.615
2000-03-22,-0.1416
2000-03-23,0.1418
2000-03-24,7.0822
2000-03-27,5.0265
2000-03-28,-2.5189
2000-03-29,-9.8191
2000-03-30,-15.043
2000-03-31,-1.6863000000000001
2000-04-03,-4.4597
2000-04-04,0.8977
2000-04-05,12.4555
2000-04-06,1.5823
2000-04-07,27.9206
2000-04-10,-2.1005
2000-04-11,-4.2289
2000-04-12,-5.3571
2000-04-13,-6.1407
2000-04-14,-29.4225
2000-04-17,13.5163
2000-04-18,7.2993
2000-04-19,8.6735
2000-04-20,-7.6682
2000-04-24,3.0508
2000-04-25,10.8553
2000-04-26,-4.451
2000-04-27,-8.0745
2000-04-28,-2.7027
2000-05-01,6.25
2000-05-02,-2.6144
2000-05-03,-0.6711
2000-05-04,0.549
2000-05-05,0.63
2000-05-08,-2.0033
2000-05-09,2.0443
2000-05-10,-7.6795
2000-05-11,2.3508
2000-05-12,-5.3004
2000-05-15,-0.7463
2000-05-16,3.7594
2000-05-17,-1.087
2000-05-18,1.0989
2000-05-19,-0.7246
2000-05-22,-7.8467
2000-05-23,-8.5149
