ticker,PBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2967
2000-01-04,-2.2727
2000-01-05,1.1628
2000-01-06,-1.1494
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-2.3256
2000-01-12,-1.1905000000000001
2000-01-13,0.0
2000-01-14,6.0241
2000-01-18,2.2727
2000-01-19,-5.5556
2000-01-20,2.3529
2000-01-21,-2.2989
2000-01-24,-1.1764999999999999
2000-01-25,-2.3810000000000002
2000-01-26,0.0
2000-01-27,0.8742
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,-2.439
2000-02-02,1.25
2000-02-03,-3.7037
2000-02-04,2.5641
2000-02-07,0.0
2000-02-09,-2.5
2000-02-10,-3.8462
2000-02-11,4.0
2000-02-14,1.2821
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-1.2658
2000-02-18,-2.5641
2000-02-22,-3.9474
2000-02-23,-1.3699
2000-02-24,0.0
2000-02-25,6.567
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,-1.3158
2000-03-03,0.0
2000-03-06,4.0
2000-03-07,2.5641
2000-03-08,0.0
2000-03-09,-2.5
2000-03-10,-2.5641
2000-03-13,-1.3158
2000-03-14,-1.3333
2000-03-15,-1.3514
2000-03-16,-1.3699
2000-03-17,-1.3889
2000-03-20,1.4085
2000-03-21,-1.3889
2000-03-22,-1.4085
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,-0.4201
2000-03-30,1.4493
2000-03-31,1.4285999999999999
2000-04-03,-2.8169
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,2.8986
2000-04-07,-1.4085
2000-04-10,-2.8571
2000-04-11,1.4706000000000001
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,0.0
2000-04-17,2.8986
2000-04-18,1.4085
2000-04-19,0.0
2000-04-20,2.7778
2000-04-24,-1.3514
2000-04-25,-2.7397
2000-04-26,0.0258
2000-04-27,-2.8571
2000-04-28,0.0
2000-05-01,4.4118
2000-05-02,2.8169
2000-05-03,1.3699
2000-05-04,-6.7568
2000-05-05,1.4493
2000-05-08,0.0
2000-05-09,2.8571
2000-05-10,-2.7778
2000-05-11,2.8571
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,-1.3889
2000-05-22,2.8169
2000-05-23,0.0
2000-05-24,4.1096
2000-05-25,2.6316
2000-05-26,0.0336
