ticker,ARYX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-07,-19.0
2007-11-08,11.1111
2007-11-09,-12.7778
2007-11-12,-1.2739
2007-11-13,1.8065
2007-11-14,-1.1407
2007-11-15,-0.3846
2007-11-16,-3.4749
2007-11-19,0.6667
2007-11-20,0.7947
2007-11-21,-0.1314
2007-11-23,5.1316
2007-11-26,-1.2516
2007-11-27,-0.6337
2007-11-28,5.7398
2007-11-29,-5.6695
2007-11-30,-4.0921
2007-12-03,1.3333
2007-12-04,-1.3158
2007-12-05,0.0
2007-12-06,0.0
2007-12-07,1.3333
2007-12-10,0.1316
2007-12-11,-1.4455
2007-12-12,1.6
2007-12-13,-1.5748
2007-12-14,1.0667
2007-12-17,0.7916
2007-12-18,3.534
2007-12-19,1.5171000000000001
2007-12-20,5.7285
2007-12-21,4.7114
2007-12-24,-7.649
2007-12-26,0.4872
2007-12-27,-3.0303
2007-12-28,5.75
2007-12-31,-8.3924
2008-01-02,7.871
2008-01-03,4.7847
2008-01-04,4.5662
2008-01-07,-0.7642
2008-01-08,-6.2706
2008-01-09,3.0516
2008-01-10,-2.0501
2008-01-11,1.5116
2008-01-14,3.0928
2008-01-15,-4.4444
2008-01-16,2.1221
2008-01-17,-6.9741
2008-01-18,-5.6304
2008-01-22,-3.6316
2008-01-23,-0.5384
2008-01-24,-2.7064
2008-01-25,-2.6426
2008-01-28,9.857099999999999
2008-01-29,4.6814
2008-01-30,-1.5528
2008-01-31,0.4416
2008-02-01,0.5025
2008-02-04,0.0
2008-02-05,-5.5
2008-02-06,-0.1323
2008-02-07,-2.649
2008-02-08,8.7075
2008-02-11,0.1252
2008-02-12,0.0
2008-02-13,0.25
2008-02-14,-0.7481
2008-02-15,-2.3869
2008-02-19,0.2574
2008-02-20,-3.0809
2008-02-21,0.1325
2008-02-22,-1.5873
2008-02-25,4.1667
2008-02-26,1.5484
2008-02-27,-3.1893
2008-02-28,9.4632
2008-02-29,0.8393
2008-03-03,-8.5612
2008-03-04,0.7802
2008-03-05,1.9355
2008-03-06,-2.7848
2008-03-07,4.4271
2008-03-10,-6.4838000000000005
2008-03-11,1.4667
2008-03-12,-1.9710999999999999
2008-03-13,6.8365
2008-03-14,-1.8820999999999999
2008-03-17,5.3453
2008-03-18,-2.8891
2008-03-19,-3.75
2008-03-20,-3.2468
2008-03-24,-1.745
2008-03-25,-1.3660999999999999
2008-03-26,-0.9695
2008-03-27,-4.8951
2008-03-28,-5.8824
2008-03-31,24.2188
