ticker,RENN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-04,28.6429
2011-05-05,-6.3298
2011-05-06,-0.4149
2011-05-09,-4.5833
2011-05-10,-7.985
2011-05-11,-8.5424
2011-05-12,-6.5975
2011-05-13,4.4444
2011-05-16,-4.2553
2011-05-17,1.0317
2011-05-18,7.6198
2011-05-19,0.365
2011-05-20,-5.4545
2011-05-23,-4.6154
2011-05-24,-1.129
2011-05-25,0.7341
2011-05-26,2.753
2011-05-27,2.4429
2011-05-31,-1.1538
2011-06-01,-3.5019
2011-06-02,4.9113
2011-06-03,-2.4521
2011-06-06,-2.7580999999999998
2011-06-07,-1.3776
2011-06-08,-13.6401
2011-06-09,-12.7498
2011-06-10,1.9628999999999999
2011-06-13,-14.4385
2011-06-14,3.375
2011-06-15,-9.0689
2011-06-16,-9.8404
2011-06-17,3.6873
2011-06-20,8.1081
2011-06-21,-5.1316
2011-06-22,-4.577
2011-06-23,-5.0872
2011-06-24,-4.5942
2011-06-27,12.3596
2011-06-28,8.5714
2011-06-29,12.7632
2011-06-30,3.2672
2011-07-01,4.5198
2011-07-05,7.4595
2011-07-06,7.6459
2011-07-07,5.8879
2011-07-08,-3.707
2011-07-11,-9.8075
2011-07-12,-3.252
2011-07-13,7.6681
2011-07-14,-2.2439
2011-07-15,2.3952
2011-07-18,6.7251
2011-07-19,-2.9224
2011-07-20,0.3763
2011-07-21,-4.1237
2011-07-22,-0.6843
2011-07-25,-1.3780000000000001
2011-07-26,1.6966
2011-07-27,2.8459
2011-07-28,2.8626
2011-07-29,0.4638
2011-08-01,-3.1394
2011-08-02,-2.2879
2011-08-03,-7.0244
2011-08-04,-15.5299
2011-08-05,-5.3416
2011-08-08,-11.417300000000001
2011-08-09,8.592600000000001
2011-08-10,-1.2278
2011-08-11,7.4586
2011-08-12,3.3419
2011-08-15,0.7463
2011-08-16,-6.5432
2011-08-17,-2.3778
2011-08-18,-4.1949
2011-08-19,-1.5537
2011-08-22,-2.439
2011-08-23,7.3529
2011-08-24,1.0959
2011-08-25,-2.439
2011-08-26,-0.2778
2011-08-29,2.2284
2011-08-30,4.0872
2011-08-31,-3.9267
2011-09-01,-1.7711000000000001
2011-09-02,-0.8322
2011-09-06,-1.6783000000000001
2011-09-07,-0.7112
2011-09-08,3.2951
2011-09-09,-4.1609
2011-09-12,-1.7366000000000001
2011-09-13,1.1782
2011-09-14,-1.7467000000000001
2011-09-15,-1.3333
2011-09-16,0.1502
2011-09-19,-9.7451
