ticker,PTRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-08,2.5
2016-01-11,-0.3484
2016-01-12,0.0
2016-01-14,0.0
2016-01-15,-47.5524
2016-01-19,10.0
2016-01-20,-3.0303
2016-01-22,15.625
2016-01-26,8.1081
2016-01-28,0.0
2016-01-29,42.0
2016-02-01,-10.5634
2016-02-04,-0.3937
2016-02-05,4.7431
2016-02-09,-7.6226
2016-02-11,2.1242
2016-02-12,4.575
2016-02-17,-2.4623
2016-02-19,-1.9607999999999999
2016-02-22,0.0
2016-02-23,6.0
2016-02-24,-1.8868
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,10.3846
2016-03-03,-16.3763
2016-03-04,14.1667
2016-03-07,-0.7299
2016-03-09,-6.1443
2016-03-10,-9.9055
2016-03-11,18.6957
2016-03-14,0.7326
2016-03-15,4.3636
2016-03-16,-1.7422
2016-03-17,19.5035
2016-03-21,0.5935
2016-03-22,-14.1593
2016-03-23,-0.3436
2016-03-24,0.0
2016-03-28,-5.1724
2016-03-29,4.0
2016-03-30,0.0
2016-03-31,-0.3497
2016-04-04,2.4561
2016-04-05,-0.6849
2016-04-06,-5.1724
2016-04-07,9.0909
2016-04-08,0.0
2016-04-11,0.0
2016-04-12,-3.3333
2016-04-13,-3.4483
2016-04-14,1.7856999999999998
2016-04-15,5.2632
2016-04-18,-12.0
2016-04-19,4.1667
2016-04-20,10.5455
2016-04-21,1.9737
2016-04-22,-2.5806
2016-04-25,-7.2848
2016-04-27,0.0
2016-04-28,18.2143
2016-04-29,-0.3021
2016-05-03,-15.1515
2016-05-04,22.8571
2016-05-06,1.1628
2016-05-10,-2.2989
2016-05-11,0.0
2016-05-12,-2.9412000000000003
2016-05-13,-4.2424
2016-05-16,-5.0633
2016-05-17,-6.6667
2016-05-18,12.857099999999999
2016-05-19,-9.8101
2016-05-20,-17.5439
2016-05-23,-4.2553
2016-05-24,12.8889
2016-05-25,12.2047
2016-05-26,-28.7719
2016-05-27,33.0049
2016-05-31,0.0
2016-06-01,-1.1111
2016-06-02,11.985
2016-06-03,3.6789
2016-06-06,-1.9355
2016-06-07,-0.6579
2016-06-08,0.0
2016-06-09,1.3245
2016-06-10,-1.9607999999999999
2016-06-13,-1.3333
2016-06-14,5.4054
2016-06-15,-0.641
2016-06-16,-2.5806
2016-06-17,1.6287
2016-06-20,0.0265
2016-06-21,0.9772
2016-06-22,-0.6452
2016-06-23,-2.5974
2016-06-27,-5.0
2016-06-28,-10.1754
