ticker,MOBL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-12,22.4444
2014-06-13,-6.5336
2014-06-16,3.8834999999999997
2014-06-17,-5.6075
2014-06-18,-1.2871000000000001
2014-06-19,-2.2066
2014-06-20,1.7436
2014-06-23,3.2258
2014-06-24,-1.8555000000000001
2014-06-25,-0.597
2014-06-26,-2.6026
2014-06-27,-1.6444
2014-06-30,-0.5225
2014-07-01,2.9412000000000003
2014-07-02,0.9184
2014-07-03,-0.7078
2014-07-07,12.5255
2014-07-08,-2.8054
2014-07-09,1.6760000000000002
2014-07-10,-3.6172
2014-07-11,-6.1283
2014-07-14,-3.9474
2014-07-15,-7.4816
2014-07-16,-5.467
2014-07-17,-1.5663
2014-07-18,-1.4687999999999999
2014-07-21,-3.7267
2014-07-22,8.645199999999999
2014-07-23,1.6627
2014-07-24,1.5187
2014-07-25,-3.3372
2014-07-28,-1.1905000000000001
2014-07-29,1.0843
2014-07-30,1.3111
2014-07-31,5.8824
2014-08-01,-5.2222
2014-08-04,2.8136
2014-08-05,-3.8769
2014-08-06,2.3725
2014-08-07,-0.8111
2014-08-08,2.8037
2014-08-11,0.1136
2014-08-12,-5.2213
2014-08-13,3.1138
2014-08-14,-0.813
2014-08-15,-0.1171
2014-08-18,-0.8206
2014-08-19,0.9456
2014-08-20,-0.3513
2014-08-21,4.1128
2014-08-22,5.7562
2014-08-25,12.9136
2014-08-26,10.8696
2014-08-27,-0.5115
2014-08-28,1.7138
2014-08-29,-2.3589
2014-09-02,3.7100999999999997
2014-09-03,0.2496
2014-09-04,-2.5726
2014-09-05,-7.2402
2014-09-08,4.775
2014-09-09,-0.8764
2014-09-10,3.6250999999999998
2014-09-11,-2.3038
2014-09-12,-2.3581
2014-09-15,-2.6834
2014-09-16,3.2169
2014-09-17,-1.0686
2014-09-18,-4.1404
2014-09-19,-4.0376
2014-09-22,-0.5871
2014-09-23,-3.7401999999999997
2014-09-24,2.1471999999999998
2014-09-25,-0.9009
2014-09-26,0.404
2014-09-29,9.5573
2014-09-30,2.2957
2014-10-01,-6.1041
2014-10-02,3.2505
2014-10-03,-1.8519
2014-10-06,3.6792
2014-10-07,-6.7334
2014-10-08,1.4634
2014-10-09,0.0
2014-10-10,-6.9231
2014-10-13,-5.1653
2014-10-14,-0.7625
2014-10-15,-1.3172
2014-10-16,4.3382
2014-10-17,1.0661
2014-10-20,-2.9536
2014-10-21,-0.2174
2014-10-22,-0.7625
2014-10-23,0.9879
2014-10-24,-1.3043
