ticker,REFR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,21.097
2000-01-04,-12.1951
2000-01-05,3.1746
2000-01-06,6.1538
2000-01-07,1.4493
2000-01-10,15.357099999999999
2000-01-11,-8.3591
2000-01-12,6.4189
2000-01-13,-3.4920999999999998
2000-01-14,-1.3158
2000-01-18,4.6667
2000-01-19,0.9554
2000-01-20,0.3155
2000-01-21,4.717
2000-01-24,15.9159
2000-01-25,18.1347
2000-01-26,7.0175
2000-01-27,-18.4426
2000-01-28,-4.0201
2000-01-31,10.9948
2000-02-01,2.8302
2000-02-02,-5.5046
2000-02-03,4.1262
2000-02-04,2.0979
2000-02-07,3.653
2000-02-08,-0.6608
2000-02-09,-1.5521
2000-02-10,2.2523
2000-02-11,1.3216
2000-02-14,0.8696
2000-02-15,6.25
2000-02-16,14.1988
2000-02-17,9.7691
2000-02-18,-7.6052
2000-02-22,3.6778
2000-02-23,-0.3378
2000-02-24,-5.5931999999999995
2000-02-25,-3.4111000000000002
2000-02-28,-1.8587
2000-02-29,5.8712
2000-03-01,-8.4079
2000-03-02,0.9766
2000-03-03,3.4816
2000-03-06,-1.6822
2000-03-07,-13.308
2000-03-08,1.3158
2000-03-09,2.5974
2000-03-10,2.9536
2000-03-13,-1.8443
2000-03-14,-6.4718
2000-03-15,-3.3482
2000-03-16,-2.0785
2000-03-17,3.7736
2000-03-20,-2.7273
2000-03-21,0.9346
2000-03-22,12.5
2000-03-23,-1.6461000000000001
2000-03-24,2.9289
2000-03-27,9.3496
2000-03-28,2.6022
2000-03-29,-1.8115999999999999
2000-03-30,-7.0111
2000-03-31,-6.3492
2000-04-03,-2.5423999999999998
2000-04-04,-13.6957
2000-04-05,7.8086
2000-04-06,0.7009
2000-04-07,3.0162
2000-04-10,-1.8018
2000-04-11,-4.5872
2000-04-12,-7.2115
2000-04-13,-8.2902
2000-04-14,-22.5989
2000-04-17,-6.5693
2000-04-18,28.9063
2000-04-19,6.0606
2000-04-20,-1.7143000000000002
2000-04-24,-7.8488
2000-04-25,-3.4699999999999998
2000-04-26,-9.8039
2000-04-27,6.1594
2000-04-28,5.1195
2000-05-01,9.7403
2000-05-02,7.6923
2000-05-03,-4.3956
2000-05-04,3.7356
2000-05-05,1.9391
2000-05-08,2.1739
2000-05-09,-3.1915
2000-05-10,-16.2088
2000-05-11,7.2131
2000-05-12,5.8104
2000-05-15,-7.5145
2000-05-16,3.4375
2000-05-17,-5.136
2000-05-18,-0.9554
2000-05-19,0.3215
