ticker,FEDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-12,0.0
2000-08-09,100.0
2000-08-25,0.0
2000-09-07,12.5
2000-10-03,-7.2889
2000-10-25,-4.1227
2000-10-30,0.0
2000-11-07,0.0
2001-03-09,-10.0
2001-03-26,0.0
2001-07-09,0.0
2002-01-18,133.3333
2002-01-23,-57.1429
2002-07-30,0.0
2002-10-14,124.4444
2002-10-23,-55.4455
2002-11-08,0.0
2003-04-11,0.0
2003-06-03,0.0
2003-07-14,-44.4444
2003-09-04,80.0
2003-09-18,0.0
2003-10-28,-44.4444
2003-12-05,80.0
2003-12-18,2.2222
2004-08-18,-2.1739
2005-01-27,0.0
2005-02-10,0.0
2005-03-10,0.0
2005-10-25,-33.3333
2005-11-07,-16.6667
2005-11-18,0.0
2005-12-02,0.0
2006-02-15,0.0
2006-05-15,0.0
2006-06-26,0.0
2007-01-30,60.0
2007-02-09,0.0
2007-02-12,50.0
2007-03-28,-33.3333
2007-05-04,0.0
2007-05-10,0.0
2007-05-17,100.0
2007-06-13,-36.25
2007-06-18,-39.2157
2007-07-25,12.9032
2007-08-03,-2.8571
2007-09-19,0.0
2007-10-30,2.9412000000000003
2007-11-19,-25.7143
2008-06-18,-3.8462
2008-07-23,196.0
2008-10-29,-66.2162
2009-06-16,0.0
2009-10-15,0.0
2009-10-19,-20.0
2009-12-16,0.0
2009-12-18,-70.0
2010-02-01,0.0
2010-02-02,0.0
2010-06-11,0.0
2010-07-21,0.0
2010-11-23,0.0
2010-12-01,0.0
2011-12-01,-66.6667
2011-12-22,0.0
2012-01-23,0.0
2012-05-04,0.0
2012-08-10,0.0
2013-04-19,0.0
2013-05-16,-50.0
2013-11-14,0.0
2013-12-06,4900.0
2014-01-23,-90.0
2014-03-03,0.0
2014-08-04,-80.0
2014-12-22,0.0
2015-03-25,900.0
2015-03-30,150.0
2015-04-08,-40.0
2015-04-17,0.0
2015-05-05,0.0
2016-01-12,20.0
2016-01-14,-27.7778
2016-02-16,7.6923
2016-02-17,0.0
2016-02-25,35.7143
2016-05-18,-26.3158
2016-11-15,0.0
2016-11-30,-14.2857
2017-02-06,41.6667
2017-02-21,0.0
2017-02-23,29.4118
2017-03-16,0.0
2017-10-13,-9.0909
2018-08-09,10.0
2018-09-27,36.3636
2018-10-12,236.6667
2019-01-15,-10.8911
2019-03-27,0.0
2019-06-25,-72.2222
2020-02-14,0.0
2020-03-18,104.0
2020-04-08,98.0392
2020-04-13,1.9802
2020-06-08,6.7961
2020-06-09,-81.8182
2020-06-11,0.0
2020-06-22,450.0
2020-06-26,-86.3636
