ticker,RLJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-11,-1.7778
2011-05-12,1.6402999999999999
2011-05-13,0.0556
2011-05-16,-0.2225
2011-05-17,0.3344
2011-05-18,0.2222
2011-05-19,0.2217
2011-05-20,-0.2212
2011-05-23,-0.1663
2011-05-24,-0.0555
2011-05-25,0.1111
2011-05-26,0.7214
2011-05-27,-0.0551
2011-05-31,0.6064
2011-06-01,-1.9726
2011-06-02,0.8385
2011-06-03,1.5521
2011-06-06,-0.655
2011-06-07,-0.7692
2011-06-08,1.052
2011-06-09,0.6027
2011-06-10,-1.4706000000000001
2011-06-13,0.0
2011-06-14,-1.1056
2011-06-15,-4.1923
2011-06-16,1.4586000000000001
2011-06-17,0.8051
2011-06-20,1.8254000000000001
2011-06-21,-0.5602
2011-06-22,0.2254
2011-06-23,-2.3047
2011-06-24,-1.7837
2011-06-27,0.2343
2011-06-28,1.8702999999999999
2011-06-29,-0.8069
2011-06-30,0.9297
2011-07-01,1.5544
2011-07-05,0.8503
2011-07-06,-1.068
2011-07-07,0.7955
2011-07-08,0.0
2011-07-11,-1.3529
2011-07-12,0.2286
2011-07-13,-0.171
2011-07-14,-0.3998
2011-07-15,0.9748
2011-07-18,-0.7382
2011-07-19,0.1144
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,-0.2857
2011-07-26,-0.2292
2011-07-27,-0.9765
2011-07-28,0.6961
2011-07-29,-0.8065
2011-08-01,-1.3937
2011-08-02,-2.179
2011-08-03,-5.4184
2011-08-04,-4.965
2011-08-05,-3.081
2011-08-08,-9.1914
2011-08-09,3.9574
2011-08-10,-7.0278
2011-08-11,7.7953
2011-08-12,1.4609
2011-08-15,0.9359
2011-08-16,-2.1398
2011-08-17,0.5102
2011-08-18,-9.3546
2011-08-19,-2.0
2011-08-22,-1.7143000000000002
2011-08-23,1.9102999999999999
2011-08-24,1.5485
2011-08-25,-1.3644
2011-08-26,-1.2205
2011-08-29,6.6722
2011-08-30,-0.3861
2011-08-31,2.7907
2011-09-01,0.1508
2011-09-02,-1.9578
2011-09-06,0.8449
2011-09-07,4.7982
2011-09-08,-3.6337
2011-09-09,-0.6787
2011-09-12,0.9871
2011-09-13,-0.5263
2011-09-14,4.0816
2011-09-15,-0.8715
2011-09-16,-0.2198
2011-09-19,-1.1747
2011-09-20,0.1486
2011-09-21,-1.2610999999999999
2011-09-22,-1.5026000000000002
2011-09-23,-0.0763
2011-09-26,-0.6107
2011-09-27,1.6897
