ticker,RVLV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-07,88.8889
2019-06-10,-2.0588
2019-06-11,6.4565
2019-06-12,2.9901
2019-06-13,10.6546
2019-06-14,3.9851
2019-06-17,-2.7136
2019-06-18,-0.0979
2019-06-19,15.0135
2019-06-20,-5.6857
2019-06-21,-12.2601
2019-06-24,-11.9403
2019-06-25,2.5716
2019-06-26,-4.416
2019-06-27,2.2355
2019-06-28,0.5831
2019-07-01,-4.9565
2019-07-02,6.1604
2019-07-03,0.2585
2019-07-05,10.6017
2019-07-08,-3.3679
2019-07-09,2.7077999999999998
2019-07-10,-3.289
2019-07-11,3.9946
2019-07-12,-2.0504
2019-07-15,0.2915
2019-07-16,-1.8494000000000002
2019-07-17,-3.93
2019-07-18,-4.9033
2019-07-19,0.5893
2019-07-22,0.7323
2019-07-23,-0.8723
2019-07-24,0.1467
2019-07-25,-1.8161
2019-07-26,2.2971
2019-07-29,2.3914
2019-07-30,-3.2185
2019-07-31,1.442
2019-08-01,-3.1041
2019-08-02,0.509
2019-08-05,-5.9875
2019-08-06,2.4081
2019-08-07,-7.2092
2019-08-08,3.2344
2019-08-09,-15.6331
2019-08-12,1.1868
2019-08-13,-2.5728
2019-08-14,-14.1748
2019-08-15,10.724
2019-08-16,-3.1875999999999998
2019-08-19,3.0393
2019-08-20,-2.6219
2019-08-21,6.7732
2019-08-22,0.1182
2019-08-23,-9.4451
2019-08-26,-0.3477
2019-08-27,-5.7567
2019-08-28,2.6839
2019-08-29,5.0023
2019-08-30,-2.7039
2019-09-03,-5.1169
2019-09-04,2.9754
2019-09-05,5.4176
2019-09-06,-4.7966
2019-09-09,-1.8893
2019-09-10,11.9211
2019-09-11,2.6628
2019-09-12,-1.7957
2019-09-13,3.9415
2019-09-16,3.792
2019-09-17,-3.5782
2019-09-18,-6.9922
2019-09-19,1.26
2019-09-20,-1.1613
2019-09-23,0.4616
2019-09-24,-8.8137
2019-09-25,1.924
2019-09-26,-0.7191
2019-09-27,3.3952
2019-09-30,2.3205
2019-10-01,0.2567
2019-10-02,-2.3474
2019-10-03,5.7255
2019-10-04,-0.124
2019-10-07,-1.2417
2019-10-08,-5.4484
2019-10-09,-2.8811999999999998
2019-10-10,-4.1077
2019-10-11,3.4269
2019-10-14,4.0037
2019-10-15,-6.7699
2019-10-16,4.4139
2019-10-17,-0.9091
2019-10-18,1.0092
2019-10-21,2.9064
2019-10-22,-6.6196
2019-10-23,1.1815
2019-10-24,-1.2610999999999999
