ticker,ZRVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-21,2.0202
2009-10-22,13.8614
2009-10-23,0.0
2009-10-27,3.4783
2009-10-29,9.2437
2009-10-30,11.538499999999999
2009-11-02,-13.7931
2009-11-03,1.6
2009-11-04,0.0
2009-11-05,10.2362
2009-11-09,-20.0
2009-11-12,4.4643
2009-11-16,0.0
2009-11-30,1.7094
2009-12-08,-3.3613
2009-12-10,4.3478
2009-12-18,-2.5
2009-12-28,2.5641
2009-12-30,0.0
2010-01-06,-2.5
2010-01-11,2.5641
2010-01-12,4.1667
2010-01-13,19.2
2010-01-14,-10.0671
2010-01-15,8.209
2010-01-19,-34.4828
2010-01-20,10.526299999999999
2010-01-22,0.0
2010-01-25,-0.9524
2010-02-02,2.8846
2010-02-03,-5.6075
2010-02-05,-1.9802
2010-02-08,-4.0404
2010-02-09,-10.526299999999999
2010-02-11,20.0
2010-02-12,2.9412000000000003
2010-02-18,0.0
2010-02-19,-38.0952
2010-02-22,1.5192
2010-02-23,-39.3825
2010-02-24,27.25
2010-02-25,-54.8134
2010-02-26,86.9565
2010-03-01,-23.2558
2010-03-03,24.2424
2010-03-04,-14.6341
2010-03-08,-37.1429
2010-03-09,4.5455
2010-03-10,86.9565
2010-03-11,4.6512
2010-03-15,-33.3333
2010-03-16,-30.0
2010-03-17,66.6667
2010-03-18,-17.1429
2010-03-19,-31.0345
2010-03-22,35.0
2010-03-23,29.6296
2010-03-25,0.0
2010-03-26,-14.2857
2010-03-30,-13.3333
2010-03-31,50.0
2010-04-01,2.5641
2010-04-06,0.0
2010-04-07,0.0
2010-04-09,-2.5
2010-04-12,2.5641
2010-04-14,-0.25
2010-04-15,0.0
2010-04-20,-24.812
2010-04-21,16.6667
2010-04-22,11.4286
2010-04-26,-15.3846
2010-04-28,0.0
2010-04-29,-6.0606
2010-05-03,25.8065
2010-05-04,-0.2564
2010-05-05,0.0
2010-05-06,-2.3136
2010-05-11,-18.4211
2010-05-12,25.8065
2010-05-13,0.0
2010-05-14,-20.5128
2010-05-18,0.0
2010-05-19,25.8065
2010-05-20,-20.5128
2010-05-24,-3.2258
2010-05-25,0.0
2010-05-28,-16.6667
2010-06-01,-56.0
2010-06-07,127.2727
2010-06-08,0.0
2010-06-09,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-17,-38.0
2010-06-21,158.0645
2010-06-23,27.5
2010-06-24,-9.8039
2010-06-29,13.0435
2010-07-06,-13.461500000000001
2010-07-07,0.0
