ticker,FCGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-03,-50.0
2000-12-21,100.0
2001-08-02,0.0
2001-10-19,4.0
2002-10-21,15.3846
2003-01-09,-16.6667
2003-02-04,4.0
2003-07-31,-3.8462
2004-01-29,104.0
2004-03-10,-49.0196
2004-03-31,-57.6923
2004-04-01,-9.0909
2004-04-06,2.5
2004-04-13,-2.439
2004-04-15,50.0
2004-04-16,-33.3333
2004-04-21,0.0
2004-05-12,0.0
2004-06-22,30.0
2004-06-29,0.0
2004-07-07,15.3846
2004-08-30,20.0
2005-01-06,-38.8889
2005-02-22,-54.5454
2005-03-02,-50.0
2005-04-15,-60.0
2005-10-26,233.3333
2005-12-01,625.0
2005-12-02,17.2414
2005-12-05,-14.7059
2005-12-09,-51.7241
2005-12-14,21.4286
2006-01-25,-51.7647
2006-01-27,0.0
2006-03-08,-2.439
2006-08-25,-85.0
2006-09-06,-20.0
2006-10-11,-40.0
2006-10-12,-38.8889
2006-10-13,-9.0909
2006-10-17,40.0
2006-10-23,96.4286
2006-10-24,14.5455
2006-10-25,-6.3492
2006-10-26,10.1695
2006-10-27,15.3846
2006-10-30,-6.6667
2006-10-31,0.0
2006-11-01,2.8571
2006-11-02,-9.7222
2006-11-03,0.0
2006-11-06,30.0
2006-11-07,-0.5917
2006-11-08,-2.3810000000000002
2006-11-09,10.9756
2006-11-10,13.1868
2006-11-13,3.8834999999999997
2006-11-14,0.0
2006-11-15,11.215
2006-11-16,0.8508
2006-11-17,1.6561
2006-11-20,1.6393
2006-11-21,1.6129
2006-11-22,0.7937
2006-11-24,0.0
2006-11-27,0.7874
2006-11-28,-1.5625
2006-11-29,0.7937
2006-11-30,-2.3622
2006-12-01,0.0
2006-12-04,8.871
2006-12-05,2.963
2006-12-06,-6.4748
2006-12-07,4.6154
2006-12-08,-1.4706000000000001
2006-12-11,-5.2239
2006-12-12,4.7244
2006-12-13,-6.015
2006-12-14,3.2
2006-12-15,3.876
2006-12-18,-3.7313
2006-12-19,0.7752
2006-12-20,-1.5385
2006-12-21,-0.7813
2006-12-26,0.0
2006-12-27,3.9370000000000003
2006-12-28,3.0303
2006-12-29,0.7353
2007-01-03,-3.6496
2007-01-04,3.0303
2007-01-08,-4.4118
2007-01-09,3.0769
2007-01-10,0.7463
2007-01-11,0.7407
2007-01-12,2.2059
2007-01-16,3.5971
2007-01-17,-3.4722
2007-01-18,1.4388
2007-01-19,0.7092
2007-01-22,-0.7042
2007-01-23,2.8369
