ticker,CERPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-07,0.0
2005-11-08,-9.0909
2005-11-09,25.0
2005-11-10,-20.0
2005-11-11,0.0
2005-11-14,10.0
2005-11-15,-4.5455
2005-11-16,-2.3810000000000002
2005-11-17,7.3171
2005-11-18,0.0
2005-11-22,-9.0909
2005-11-25,10.0
2005-11-28,-9.0909
2005-12-01,0.0
2005-12-02,0.0
2005-12-05,5.0
2005-12-06,7.1429
2005-12-07,6.6667
2005-12-08,0.0
2005-12-09,0.0
2005-12-12,12.5
2005-12-13,-7.4074
2005-12-15,8.0
2005-12-16,0.0
2005-12-19,0.0
2005-12-20,-7.4074
2005-12-21,12.0
2005-12-22,7.1429
2005-12-27,-6.6667
2005-12-30,7.1429
2006-01-03,0.0
2006-01-04,0.0
2006-01-06,6.6667
2006-01-09,0.0
2006-01-10,-3.125
2006-01-11,3.2258
2006-01-12,0.0
2006-01-13,0.0
2006-01-17,6.25
2006-01-18,0.0
2006-01-19,2.9412000000000003
2006-01-20,0.0
2006-01-23,2.8571
2006-01-24,5.5556
2006-01-25,13.1579
2006-01-26,25.5814
2006-01-27,22.2222
2006-01-30,28.7879
2006-01-31,-5.8824
2006-02-01,0.0
2006-02-02,0.0
2006-02-03,-6.25
2006-02-06,-6.6667
2006-02-07,-21.4286
2006-02-08,23.6364
2006-02-09,2.9412000000000003
2006-02-10,-1.4285999999999999
2006-02-13,-2.8986
2006-02-14,1.4925
2006-02-15,0.0
2006-02-16,-14.7059
2006-02-17,20.6897
2006-02-21,0.0
2006-02-22,-1.4285999999999999
2006-02-23,0.0
2006-02-24,1.4493
2006-02-27,0.0
2006-02-28,5.7143
2006-03-01,1.3514
2006-03-02,-5.3333
2006-03-03,2.2711
2006-03-06,3.288
2006-03-07,-1.3333
2006-03-08,0.0
2006-03-09,0.0
2006-03-10,1.3514
2006-03-13,0.0
2006-03-14,0.0
2006-03-15,5.3333
2006-03-16,-3.7975
2006-03-17,2.6316
2006-03-20,0.0
2006-03-21,0.0
2006-03-22,0.0
2006-03-23,0.0
2006-03-24,0.0
2006-03-27,-3.8462
2006-03-28,2.6667
2006-03-29,1.2987
2006-03-30,0.0
2006-03-31,0.0
2006-04-03,2.5641
2006-04-04,-1.25
2006-04-05,-1.2658
2006-04-06,0.0
2006-04-07,0.0
2006-04-10,0.0
2006-04-11,-1.2821
2006-04-12,1.2987
2006-04-13,2.5641
2006-04-17,-2.5
2006-04-18,2.5641
2006-04-19,0.0
