ticker,MKTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-05,59.0
2004-11-08,6.9182
2004-11-09,-0.6952
2004-11-10,8.5083
2004-11-11,4.2184
2004-11-12,1.9048
2004-11-15,0.9813
2004-11-16,2.7302
2004-11-17,-0.9009
2004-11-18,-5.2727
2004-11-19,3.167
2004-11-22,3.3487999999999998
2004-11-23,-4.6355
2004-11-24,-0.6607
2004-11-26,-0.2423
2004-11-29,-3.6621
2004-11-30,-3.1142
2004-12-01,2.2449
2004-12-02,7.984
2004-12-03,-0.9242
2004-12-06,-4.3843
2004-12-07,-5.1707
2004-12-08,-0.2058
2004-12-09,3.0928
2004-12-10,2.05
2004-12-13,-4.9486
2004-12-14,-5.7216000000000005
2004-12-15,-5.9049
2004-12-16,-6.5078
2004-12-17,-0.9944
2004-12-20,1.1927
2004-12-21,5.273
2004-12-22,-0.1709
2004-12-23,1.4698
2004-12-27,-1.2216
2004-12-28,-0.4122
2004-12-29,-0.887
2004-12-30,2.5060000000000002
2004-12-31,-0.9895
2005-01-03,-6.2257
2005-01-04,-2.4513
2005-01-05,0.2571
2005-01-06,-2.0513
2005-01-07,1.4398
2005-01-10,0.0
2005-01-11,2.7096999999999998
2005-01-12,-0.2513
2005-01-13,-5.0378
2005-01-14,0.7958
2005-01-18,-1.3816
2005-01-19,-0.4003
2005-01-20,-1.6745
2005-01-21,-0.9537
2005-01-24,-3.0261
2005-01-25,2.1277
2005-01-26,-0.3472
2005-01-27,-0.9059
2005-01-28,0.0703
2005-01-31,-1.7569
2005-02-01,-0.1431
2005-02-02,-1.0029
2005-02-03,-12.5181
2005-02-04,-4.8801
2005-02-07,-0.8696
2005-02-08,-0.4386
2005-02-09,5.4626
2005-02-10,4.4277
2005-02-11,-0.16
2005-02-14,-2.2436
2005-02-15,6.9672
2005-02-16,4.9808
2005-02-17,-5.5474
2005-02-18,1.7002000000000002
2005-02-22,-1.2158
2005-02-23,-1.4615
2005-02-24,-1.3271
2005-02-25,-1.2579
2005-02-28,-5.0557
2005-03-01,1.2489
2005-03-02,0.0167
2005-03-03,-4.7583
2005-03-04,0.0087
2005-03-07,-0.2625
2005-03-08,-2.5439
2005-03-09,-0.45
2005-03-10,1.4466999999999999
2005-03-11,-1.6042999999999998
2005-03-14,1.4493
2005-03-15,-1.875
2005-03-16,0.091
2005-03-17,-0.4545
2005-03-18,-0.0913
2005-03-21,-2.1938
2005-03-22,2.0561
2005-03-23,-3.8462
2005-03-24,-0.8571
