ticker,CTBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.439
2000-01-04,-3.125
2000-01-05,1.9355
2000-01-06,0.0
2000-01-07,6.0127
2000-01-10,-0.2985
2000-01-11,-1.7964
2000-01-12,4.8098
2000-01-13,-6.2937
2000-01-18,-8.209
2000-01-19,-2.439
2000-01-20,8.3333
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-1.5385
2000-01-26,-0.7812
2000-01-28,-7.874
2000-01-31,5.1282
2000-02-01,-1.2195
2000-02-02,-1.2346
2000-02-03,1.4583
2000-02-07,-0.616
2000-02-08,-4.1322
2000-02-09,0.0
2000-02-10,-4.7414
2000-02-11,-2.2624
2000-02-14,2.7778
2000-02-15,-8.1081
2000-02-16,-4.902
2000-02-17,-3.6082
2000-02-18,5.8824
2000-02-22,7.0707
2000-02-23,-2.8302
2000-02-24,-6.7961
2000-02-25,-2.0833
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,2.1277
2000-03-02,-1.0417
2000-03-03,-5.2632
2000-03-06,2.2222
2000-03-07,-2.7174
2000-03-08,0.0
2000-03-09,2.5140000000000002
2000-03-10,-4.0872
2000-03-13,0.0
2000-03-14,-4.5455
2000-03-15,4.7619
2000-03-16,-0.0114
2000-03-17,2.5641
2000-03-20,-2.5
2000-03-21,2.5641
2000-03-22,2.2222
2000-03-23,-0.5435
2000-03-24,-3.8251
2000-03-28,0.0
2000-03-29,-1.7045
2000-03-30,-2.8902
2000-03-31,2.3810000000000002
2000-04-03,-2.907
2000-04-04,0.0
2000-04-06,5.3892
2000-04-07,-5.6818
2000-04-10,-10.8434
2000-04-11,1.3514
2000-04-12,4.6667
2000-04-13,3.8217
2000-04-14,-6.7485
2000-04-17,14.473700000000001
2000-04-18,-8.046
2000-04-19,0.0
2000-04-20,0.3125
2000-04-24,-0.3115
2000-04-25,4.375
2000-04-26,-6.5868
2000-04-28,1.2821
2000-05-01,-3.7975
2000-05-02,-0.9868
2000-05-03,0.3322
2000-05-04,-1.3245
2000-05-05,4.698
2000-05-08,-2.5641
2000-05-09,-1.9737
2000-05-10,4.3624
2000-05-11,6.7524
2000-05-12,-2.7108
2000-05-15,4.644
2000-05-16,0.0
2000-05-18,-4.142
2000-05-19,3.7037
2000-05-22,-0.5952
2000-05-24,0.0
2000-05-25,1.1976
2000-05-26,7.3964
2000-05-30,0.551
2000-05-31,3.2877
2000-06-01,1.8568
2000-06-02,8.0729
2000-06-05,-1.6867
2000-06-06,0.4902
