ticker,CCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-30,0.0
2018-11-02,0.1042
2018-11-05,-0.1041
2018-11-06,0.0
2018-11-08,-0.4167
2018-11-09,0.4174
2018-11-13,-0.1729
2018-11-14,-0.0344
2018-11-16,-0.2088
2018-11-19,-0.0575
2018-11-20,0.022
2018-11-21,0.2449
2018-11-23,-0.3132
2018-11-26,0.1037
2018-11-27,-0.1036
2018-11-28,0.1047
2018-11-29,-0.1046
2018-11-30,0.2094
2018-12-04,0.0
2018-12-06,-0.1045
2018-12-07,0.1046
2018-12-10,-0.3135
2018-12-11,0.1048
2018-12-12,0.1047
2018-12-13,0.0
2018-12-14,0.0
2018-12-17,-0.1046
2018-12-18,-0.1047
2018-12-19,0.0
2018-12-20,0.3145
2018-12-21,-0.3135
2018-12-24,0.0
2018-12-26,0.0
2018-12-27,0.3145
2018-12-28,-0.209
2018-12-31,0.0
2019-01-02,0.3141
2019-01-03,0.0
2019-01-04,0.2088
2019-01-07,-0.2083
2019-01-08,0.1044
2019-01-09,0.0
2019-01-10,0.1043
2019-01-11,-0.1042
2019-01-14,3.2325
2019-01-15,0.303
2019-01-16,1.2085
2019-01-17,1.8904999999999998
2019-01-18,1.9531
2019-01-22,0.0
2019-01-23,-0.3831
2019-01-24,0.0
2019-01-25,-0.0048
2019-01-28,-0.2837
2019-01-29,0.0
2019-01-30,0.675
2019-01-31,1.341
2019-02-01,1.5123
2019-02-04,1.6760000000000002
2019-02-05,1.1905000000000001
2019-02-06,2.1719
2019-02-07,-1.9485999999999999
2019-02-08,0.0903
2019-02-11,-0.2708
2019-02-12,1.7195
2019-02-13,1.3345
2019-02-14,1.0536
2019-02-15,0.2606
2019-02-19,-0.0867
2019-02-20,-2.4284
2019-02-21,-2.2222
2019-02-22,1.3636
2019-02-25,-0.4484
2019-02-26,0.4505
2019-02-27,0.0
2019-02-28,-1.1659
2019-03-01,-0.726
2019-03-04,-0.7313
2019-03-05,0.8287
2019-03-06,-0.274
2019-03-07,0.641
2019-03-08,0.182
2019-03-11,0.4541
2019-03-12,5.6058
2019-03-13,4.7089
2019-03-14,0.2453
2019-03-15,1.1419
2019-03-18,1.2097
2019-03-19,-0.5578
2019-03-20,1.6026
2019-03-21,-0.3155
2019-03-22,0.1582
2019-03-25,0.7109
2019-03-26,2.7451
2019-03-27,3.7405
2019-03-28,-0.9566
2019-03-29,-0.1486
2019-04-01,0.744
2019-04-02,-0.0739
2019-04-03,-0.2217
2019-04-04,0.6667
