ticker,KISB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-14,-2.0833
2000-03-15,-0.3546
2000-03-16,-0.3559
2000-04-24,2.8571
2000-05-26,-4.1667
2000-06-02,11.5942
2000-11-03,-1.2987
2000-11-06,2.6316
2001-01-12,3.8462
2001-01-24,0.6173
2001-01-25,0.0
2001-02-01,0.0
2001-02-06,-1.8405
2001-03-23,6.25
2001-04-04,-4.7059
2001-04-10,4.9383
2001-04-11,0.0
2001-05-25,-3.5294
2001-06-01,-0.9146
2001-06-06,1.5385
2001-06-07,0.6061
2001-06-11,-0.3012
2001-08-14,5.136
2001-09-04,0.0
2001-09-19,1.1494
2001-10-04,-1.1364
2001-10-10,-5.4023
2001-10-11,5.7108
2001-10-12,0.5747
2001-11-07,0.0
2001-11-15,1.1429
2001-12-11,1.6949
2001-12-19,1.1111
2001-12-20,0.0
2002-02-12,0.0
2002-02-28,5.4945
2002-04-05,0.0
2002-05-17,-9.375
2002-05-22,3.4483
2002-06-04,1.1111
2002-06-05,1.0989
2002-06-07,-2.1739
2002-07-01,6.6667
2002-07-02,0.0
2002-07-03,0.0
2002-07-08,0.0
2002-07-18,-6.25
2002-07-29,5.5556
2002-07-31,-4.7368
2002-08-05,-0.5525
2002-08-06,6.9444
2002-08-07,-6.4935
2002-08-08,2.7778
2002-08-14,-1.6216
2002-08-19,0.1099
2002-08-20,0.9879
2002-08-23,2.1739
2002-08-27,-3.7234
2002-08-28,1.3812
2002-09-04,-0.7411
2002-09-13,1.5702
2002-09-18,-1.6216
2002-09-19,1.0989
2002-09-23,0.0
2002-09-24,0.0
2002-09-27,0.0
2002-09-30,-2.1739
2002-10-04,-2.2222
2002-10-08,3.4091
2002-10-21,1.0989
2002-10-24,0.0
2002-10-25,0.0
2002-10-28,0.0
2002-10-29,-1.087
2002-11-08,1.0989
2002-11-19,-2.1739
2002-12-30,-1.6667
2003-01-08,2.8249
2003-01-09,0.0
2003-01-10,0.0
2003-01-17,0.0
2003-02-03,0.0
2003-02-06,0.0
2003-02-10,-1.0989
2003-02-14,-1.1111
2003-02-24,1.1236
2003-02-25,-1.1111
2003-03-12,1.1236
2003-03-13,-1.1111
2003-03-14,0.8427
2003-03-24,-0.8245
2003-03-25,-0.5168
2003-04-01,-0.0565
2003-04-21,1.6949
2003-05-05,-1.6667
2003-05-15,1.1299
2003-05-30,-1.0615
2003-06-04,1.6375
2003-06-06,2.2222
2003-07-14,-0.1087
2003-07-24,0.1088
2003-07-25,0.0
