ticker,TLYS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-04,8.4516
2012-05-07,1.4277
2012-05-08,-0.2933
2012-05-09,-0.8824
2012-05-10,3.2641
2012-05-11,0.2874
2012-05-14,4.0115
2012-05-15,1.8182
2012-05-16,-0.0541
2012-05-17,-1.5701
2012-05-18,-2.0902
2012-05-21,-4.2697
2012-05-22,-3.169
2012-05-23,-0.0606
2012-05-24,1.0916
2012-05-25,4.3791
2012-05-29,-1.5516999999999999
2012-05-30,-8.4647
2012-05-31,3.8265000000000002
2012-06-01,-4.5455
2012-06-04,-1.6088
2012-06-05,0.7194
2012-06-06,-3.2468
2012-06-07,-6.7785
2012-06-08,5.4716000000000005
2012-06-11,-0.4096
2012-06-12,3.0158
2012-06-13,1.5968
2012-06-14,0.1965
2012-06-15,-3.3987
2012-06-18,1.2854999999999999
2012-06-19,1.336
2012-06-20,2.5709
2012-06-21,0.8997
2012-06-22,-4.1401
2012-06-25,-0.1329
2012-06-26,6.7864
2012-06-27,-0.3738
2012-06-28,-2.0013
2012-06-29,2.425
2012-07-02,0.4361
2012-07-03,0.1241
2012-07-05,1.487
2012-07-06,-0.0611
2012-07-09,1.5272000000000001
2012-07-10,0.8424
2012-07-11,-1.1933
2012-07-12,-2.3551
2012-07-13,5.0711
2012-07-16,-1.7069
2012-07-17,0.3593
2012-07-18,-0.6563
2012-07-19,0.0
2012-07-20,0.8408
2012-07-23,-3.9309
2012-07-24,-0.62
2012-07-25,1.3724
2012-07-26,-1.1077
2012-07-27,0.7467
2012-07-30,2.1001
2012-07-31,0.484
2012-08-01,-1.5653000000000001
2012-08-02,-2.4465
2012-08-03,0.6897
2012-08-06,0.4981
2012-08-07,0.6196
2012-08-08,-0.431
2012-08-09,-0.1855
2012-08-10,0.2478
2012-08-13,0.309
2012-08-14,-0.6161
2012-08-15,-0.124
2012-08-16,3.7865
2012-08-17,-2.9306
2012-08-20,-0.8626
2012-08-21,-1.6781000000000001
2012-08-22,4.804
2012-08-23,9.2883
2012-08-24,4.3046
2012-08-27,1.5344
2012-08-28,-1.1464
2012-08-29,-3.0575
2012-08-30,-0.3806
2012-08-31,0.1092
2012-09-04,0.1636
2012-09-05,-1.0887
2012-09-06,2.5867
2012-09-07,-2.1996
2012-09-10,-1.0422
2012-09-11,2.9379
2012-09-12,-0.8616
2012-09-13,-3.2048
2012-09-14,1.0662
2012-09-17,-1.6657
2012-09-18,-1.3552
2012-09-19,5.0372
2012-09-20,-2.0163
