ticker,PCTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-16,0.0
2016-09-19,0.0
2016-09-20,6.6667
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,25.0
2016-09-27,-10.0
2016-09-30,2.7778
2016-10-03,-5.4054
2016-10-05,2.8571
2016-10-06,-5.9722
2016-10-11,6.3516
2016-10-12,11.1111
2016-10-13,1.15
2016-10-14,1.3347
2016-10-17,2.439
2016-10-18,7.1429
2016-10-19,-8.8889
2016-10-24,-2.439
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,-5.0
2016-11-03,-9.7105
2016-11-10,2.0111
2016-11-15,-2.8571
2016-11-17,-2.9412000000000003
2016-11-23,36.3636
2016-11-28,-4.4444
2016-12-01,-11.6279
2016-12-02,18.4211
2016-12-09,11.1111
2016-12-21,-20.0
2016-12-28,10.0
2016-12-30,0.0
2017-01-03,-20.4545
2017-01-11,13.7143
2017-01-17,0.5025
2017-01-18,0.0
2017-01-24,0.0
2017-01-26,-0.5
2017-01-30,-17.0854
2017-01-31,3.0303
2017-02-01,17.647100000000002
2017-02-02,0.0
2017-02-10,0.0
2017-02-15,0.0
2017-02-23,-15.0
2017-02-24,-5.8824
2017-03-06,1.25
2017-03-13,7.4074
2017-03-16,3.4483
2017-03-17,-3.3333
2017-03-28,3.4483
2017-03-29,0.0
2017-03-30,2.7778
2017-03-31,0.0
2017-04-04,2.7027
2017-04-05,4.7368
2017-04-06,-1.6175000000000002
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,-5.5068
2017-04-18,0.5405
2017-04-19,0.0
2017-04-26,7.5269
2017-05-01,0.0
2017-05-08,0.0
2017-05-15,-7.5
2017-05-23,2.7027
2017-05-25,-2.6316
2017-05-26,8.1081
2017-05-30,-1.15
2017-05-31,-3.8948
2017-06-01,5.2632
2017-06-02,-5.0
2017-06-05,5.2632
2017-06-07,0.0
2017-06-09,0.0
2017-06-20,-5.0
2017-06-26,0.0
2017-06-29,0.0
2017-07-05,-10.526299999999999
2017-07-06,17.647100000000002
2017-07-13,-5.0
2017-07-14,-10.526299999999999
2017-07-18,11.7647
2017-07-19,-5.2632
2017-07-21,0.0
2017-07-31,0.0
2017-08-01,-2.7778
2017-08-09,-2.8571
2017-08-15,-14.7059
2017-08-17,0.0
2017-09-05,0.0
2017-10-05,0.0
2017-10-16,-3.4483
2017-10-19,-21.4286
2017-11-01,-9.0909
2017-11-06,-5.0
2017-11-08,0.0
2017-11-14,-21.0526
2017-11-16,24.6
