ticker,ANGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-17,25.0769
2011-11-18,-2.8289999999999997
2011-11-21,-2.5316
2011-11-22,4.6753
2011-11-23,-8.3747
2011-11-25,-8.5985
2011-11-28,-3.7037
2011-11-29,-9.2308
2011-11-30,-2.0763
2011-12-01,8.611
2011-12-02,11.6335
2011-12-05,-2.7123
2011-12-06,2.7880000000000003
2011-12-07,11.4204
2011-12-08,3.4593
2011-12-09,-0.743
2011-12-12,2.8696
2011-12-13,1.5767
2011-12-14,-1.9701
2011-12-15,-2.5579
2011-12-16,-1.6875
2011-12-19,-0.5086
2011-12-20,1.5974
2011-12-21,0.6289
2011-12-22,0.5
2011-12-23,2.7984999999999998
2011-12-27,0.9679
2011-12-28,-1.7974999999999999
2011-12-29,-2.4405
2011-12-30,0.6879
2012-01-03,-6.2733
2012-01-04,-6.6269
2012-01-05,-2.1292
2012-01-06,-4.0609
2012-01-09,1.3605
2012-01-10,3.3557
2012-01-11,1.2266
2012-01-12,7.1276
2012-01-13,0.4657
2012-01-17,4.3046
2012-01-18,0.9524
2012-01-19,0.0
2012-01-20,-1.2579
2012-01-23,0.6369
2012-01-24,0.0
2012-01-25,-1.0127
2012-01-26,-0.3197
2012-01-27,-2.5016
2012-01-30,-3.1579
2012-01-31,0.1359
2012-02-01,-3.46
2012-02-02,3.1623
2012-02-03,1.5668
2012-02-06,-1.2072
2012-02-07,4.7522
2012-02-08,5.4439
2012-02-09,-1.3522
2012-02-10,0.5607
2012-02-13,1.6729
2012-02-14,-4.8751
2012-02-15,-3.5874
2012-02-16,2.392
2012-02-17,-3.1798
2012-02-21,0.067
2012-02-22,-3.148
2012-02-23,6.9848
2012-02-24,0.905
2012-02-27,1.4734
2012-02-28,0.8838
2012-02-29,0.1252
2012-03-01,0.75
2012-03-02,-5.397
2012-03-05,2.3607
2012-03-06,-5.253
2012-03-07,4.8004999999999995
2012-03-08,-0.129
2012-03-09,0.1292
2012-03-12,2.7742
2012-03-13,0.6905
2012-03-14,-1.9327
2012-03-15,2.5429
2012-03-16,-0.31
2012-03-19,10.8831
2012-03-20,-3.0846999999999998
2012-03-21,-2.7778
2012-03-22,1.4285999999999999
2012-03-23,0.1174
2012-03-26,2.9894
2012-03-27,1.8782
2012-03-28,5.6425
2012-03-29,-4.9709
2012-03-30,5.1196
2012-04-02,-2.8587
2012-04-03,-4.6866
2012-04-04,-3.6021
2012-04-05,-4.9822
2012-04-09,-6.6792
2012-04-10,-2.8763
