ticker,BOXL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-01,-13.7845
2017-12-04,6.4549
2017-12-05,-5.7905
2017-12-06,5.058
2017-12-07,-1.3657
2017-12-08,-9.0909
2017-12-11,0.0015
2017-12-12,-0.0015
2017-12-13,0.0
2017-12-14,-10.6138
2017-12-15,-1.2495
2017-12-18,0.8941
2017-12-20,-0.6703
2017-12-21,0.6678
2018-01-02,-13.4476
2018-01-03,14.5689
2018-01-04,1.0471
2018-01-05,3.4483
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,-2.3333
2018-01-11,10.0683
2018-01-12,8.076
2018-01-16,-13.5549
2018-01-17,-8.7288
2018-01-18,10.9109
2018-01-19,-7.9031
2018-01-22,8.2236
2018-01-23,-1.1513
2018-01-24,-0.1664
2018-01-26,-5.1483
2018-02-01,-0.9524
2018-02-05,-10.7719
2018-02-06,8.3564
2018-02-08,-18.8991
2018-02-09,13.1222
2018-02-13,8.0
2018-02-15,-7.4074
2018-02-20,-5.798
2018-02-22,-15.0761
2018-03-01,5.0
2018-03-02,0.0
2018-03-05,9.5238
2018-03-06,4.3478
2018-03-07,-9.375
2018-03-14,-8.046
2018-03-16,0.0
2018-03-20,0.0
2018-03-21,5.0
2018-03-22,-16.6667
2018-03-26,-14.2857
2018-03-27,32.6667
2018-03-28,2.0101
2018-04-02,17.1182
2018-04-03,-8.307
2018-04-04,-4.3028
2018-04-05,-15.3964
2018-04-06,1.1331
2018-04-09,-8.4034
2018-04-10,0.9174
2018-04-11,27.2727
2018-04-12,-10.7143
2018-04-13,5.1947
2018-04-16,-3.9242
2018-04-17,-1.4248
2018-04-18,-2.9979
2018-04-23,3.4823
2018-04-24,-2.6719
2018-04-25,-2.7397
2018-04-26,1.4085
2018-04-27,8.3333
2018-04-30,-8.9744
2018-05-01,7.1352
2018-05-02,95.0937
2018-05-03,12.2642
2018-05-04,-22.569
2018-05-07,-2.3256
2018-05-08,-9.3667
2018-05-09,-2.275
2018-05-10,-7.7061
2018-05-11,29.501
2018-05-14,76.9301
2018-05-15,-18.4746
2018-05-16,2.2869
2018-05-17,-11.9919
2018-05-18,-16.3972
2018-05-21,8.5635
2018-05-22,-16.0305
2018-05-23,9.0909
2018-05-24,-1.3889
2018-05-25,-5.6338
2018-05-29,-1.6418
2018-05-30,-5.3111
2018-05-31,19.8718
2018-06-01,-5.8824
2018-06-04,-2.1307
2018-06-05,-3.3382
2018-06-06,-5.2553
2018-06-07,-3.9619999999999997
