ticker,PKDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-04,5.1613
2019-04-05,13.681000000000001
2019-04-08,-1.4031
2019-04-09,-3.4483
2019-04-10,7.7097999999999995
2019-04-11,-4.2105
2019-04-12,2.9121
2019-04-15,2.8297
2019-04-16,1.0903
2019-04-17,0.1541
2019-04-18,1.3333
2019-04-22,-1.8218999999999999
2019-04-23,2.5773
2019-04-24,-0.7538
2019-04-25,1.2152
2019-04-26,-0.3502
2019-04-29,-1.4558
2019-04-30,0.0
2019-05-01,-1.5283
2019-05-02,-2.9488
2019-05-03,3.1983
2019-05-06,-1.0847
2019-05-07,-1.4099
2019-05-08,7.1504
2019-05-09,8.1562
2019-05-10,0.5484
2019-05-13,-0.4091
2019-05-14,1.4605000000000001
2019-05-15,2.6991
2019-05-16,-0.876
2019-05-17,-3.5351
2019-05-20,-2.7027
2019-05-21,1.742
2019-05-22,-7.3114
2019-05-23,-3.2951
2019-05-24,-1.2389999999999999
2019-05-28,2.4569
2019-05-29,-1.3265
2019-05-30,-1.758
2019-05-31,0.7368
2019-06-03,-0.1045
2019-06-04,-3.6611000000000002
2019-06-05,1.9544000000000001
2019-06-06,2.4494
2019-06-07,0.2079
2019-06-10,0.0519
2019-06-11,0.6739
2019-06-12,4.3769
2019-06-13,2.6147
2019-06-14,-0.6731
2019-06-17,-4.4046
2019-06-18,0.8101
2019-06-19,-2.1095
2019-06-20,-5.49
2019-06-21,0.1086
2019-06-24,0.3254
2019-06-25,2.1622
2019-06-26,1.2698
2019-06-27,-0.3135
2019-06-28,6.2893
2019-07-01,0.2959
2019-07-02,-5.6539
2019-07-03,0.5732
2019-07-05,-1.2435
2019-07-08,-0.3148
2019-07-09,-0.7368
2019-07-10,4.5069
2019-07-11,-1.3191
2019-07-12,-0.7712
2019-07-15,-0.8808
2019-07-16,-5.0183
2019-07-17,-0.9906
2019-07-18,2.1679
2019-07-19,-3.9717000000000002
2019-07-22,-1.3598
2019-07-23,1.0913
2019-07-24,-0.5682
2019-07-25,-3.0857
2019-07-26,-0.4717
2019-07-29,-1.5995
2019-07-30,0.0602
2019-07-31,3.4898
2019-08-01,-8.2558
2019-08-02,-4.8162
2019-08-05,-10.7856
2019-08-06,-0.8955
2019-08-07,-6.8524
2019-08-08,-2.9103
2019-08-09,-3.7469
2019-08-12,1.9031
2019-08-13,-3.82
2019-08-14,9.6205
2019-08-15,0.3221
2019-08-16,3.2103
2019-08-19,5.6765
2019-08-20,0.8094
