ticker,FIBH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-11,19.0099
2003-08-06,1.4975
2005-10-07,21.3115
2006-06-23,3.3784
2006-06-26,7.8431
2006-08-22,-0.6061
2006-10-02,-4.878
2006-10-04,0.0
2011-02-24,-14.7497
2011-02-28,1.5873
2011-03-04,-1.5625
2011-03-07,1.5873
2011-03-17,-1.5625
2011-03-18,1.5873
2012-02-23,-5.0633
2013-02-20,-2.1922
2013-08-28,0.8621
2013-08-30,1.7094
2013-09-19,-5.042
2013-12-10,-5.3097
2013-12-17,4.6729
2014-02-11,5.3105
2014-05-20,1.6364999999999998
2014-05-28,0.0
2014-06-13,0.0
2014-06-17,0.0
2014-06-18,3.3898
2014-06-24,6.5574
2014-06-27,-6.1538
2014-07-16,0.7432
2014-07-24,4.918
2014-07-25,1.5625
2014-07-30,0.0
2014-08-01,0.0
2014-08-11,-1.5385
2014-08-13,3.125
2014-09-18,-1.5152
2014-10-31,4.6512
2014-11-10,1.4815
2014-11-19,5.8394
2014-11-20,0.0
2014-12-01,-3.4483
2014-12-10,4.2857
2014-12-12,0.0
2015-01-07,23.3274
2015-01-26,0.6711
2015-03-06,-11.6667
2015-03-09,4.717
2015-03-12,-0.9009
2015-03-17,-3.6364
2015-03-18,5.6604
2015-03-25,-3.5714
2015-03-30,3.7037
2015-04-06,0.6109
2015-04-28,7.1429
2015-04-29,-1.6667
2015-05-01,2.5423999999999998
2015-05-05,-1.6529
2015-05-06,0.0
2015-05-07,0.8403
2015-05-08,10.0
2015-05-27,-6.0606
2015-07-15,-4.1518
2015-07-27,4.9069
2015-07-28,0.0
2015-09-28,-3.2258
2015-09-30,3.9
2015-10-21,0.0
2015-10-22,4.8387
2015-10-23,0.0
2015-11-04,-3.8462
2015-11-17,4.0
2015-11-24,0.0
2015-12-08,1.5385
2015-12-21,-2.1212
2016-01-22,2.7397
2016-02-18,-4.3939
2016-02-29,4.5959
2016-04-12,0.5484
2016-04-25,0.0
2016-05-10,-3.0606
2016-06-08,1.5941999999999998
2016-07-27,1.9493
2016-07-29,0.0
2016-08-02,-3.6419
2016-08-05,0.0
2016-08-17,0.0
2016-08-18,3.7795
2016-08-26,0.1517
2016-08-29,0.7576
2016-09-06,-3.7594
2016-09-20,3.9063
2016-09-26,2.2556
2016-10-06,0.5322
2016-10-28,0.0
2016-11-09,-5.1471
2016-11-15,0.0
2016-11-29,0.7752
2017-01-13,-0.4334
2017-01-20,0.0031
2017-01-24,4.1634
