ticker,AFIPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-05,0.0
2000-05-30,-7.1429
2000-09-05,-2.4872
2000-10-13,0.1841
2000-10-19,6.2992
2000-10-23,-5.9259
2008-06-23,107.3491
2008-07-18,6.3291
2008-08-21,-4.7619
2008-08-25,3.75
2008-10-10,-14.4578
2008-10-27,7.0423
2009-03-02,-1.3158
2009-03-20,-20.0
2009-08-07,-0.3333
2009-12-21,-0.5017
2010-01-25,-2.521
2010-02-08,0.0
2010-03-24,0.0
2010-03-31,-1.7241
2010-04-01,-3.5088
2010-04-05,0.0
2010-04-29,0.0
2010-05-10,-4.3636
2010-05-11,-0.1901
2011-03-21,-8.5714
2011-04-19,9.375
2012-04-05,0.0
2012-06-12,1.9048
2012-07-31,-4.6729
2012-09-18,0.0
2012-09-19,3.9215999999999998
2013-08-20,7.5472
2014-01-08,-7.0175
2014-01-10,-1.8868
2014-08-11,-9.2051
2014-08-14,8.5106
2014-09-05,-0.4902
2014-09-08,0.0
2014-10-15,4.4335
2014-12-17,-9.434
2015-04-28,3.125
2015-06-05,0.0
2015-08-20,-6.6274
2017-07-10,0.5135
2017-07-14,1.087
2017-07-25,-10.2897
2017-07-28,0.1205
2017-08-16,0.0
2017-10-18,1.083
2018-06-04,-21.4286
2018-06-06,6.0606
2018-08-01,-2.3162
2019-05-24,-14.5839
2019-05-29,1.7285
2019-06-05,1.6949
2019-07-10,-3.3407999999999998
2019-07-23,-3.4408
2019-07-29,0.8927
2019-08-02,0.0002
2019-08-08,-7.1429
2019-08-19,7.6923
2019-09-16,1.7856999999999998
2019-11-04,-0.8772
2019-12-04,-2.3009
2019-12-05,3.6231999999999998
2020-02-20,-3.8462
2020-02-26,4.0
2020-03-12,-7.8671
2020-03-13,-1.3283
