ticker,OLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-0.9615
2000-01-06,0.0
2000-01-10,-1.9417
2000-01-11,0.9901
2000-01-12,0.9804
2000-01-13,-0.9709
2000-01-18,0.9804
2000-01-20,-0.9709
2000-01-21,-2.9412000000000003
2000-01-25,-1.0101
2000-01-27,0.5102
2000-01-28,-1.0152
2000-01-31,-6.6667
2000-02-01,1.0989
2000-02-02,0.0
2000-02-03,1.087
2000-02-04,-1.0753
2000-02-07,-2.1739
2000-02-08,-2.2222
2000-02-09,0.0
2000-02-11,1.1364
2000-02-14,-1.1236
2000-02-16,-1.1364
2000-02-17,0.5747
2000-02-18,2.2857
2000-02-22,-1.6760000000000002
2000-02-23,-1.1364
2000-02-24,2.2989
2000-02-25,1.1236
2000-02-28,2.2222
2000-02-29,1.087
2000-03-01,1.0753
2000-03-02,-1.0638
2000-03-06,-0.5376
2000-03-07,-1.6216
2000-03-08,0.0
2000-03-10,0.0
2000-03-13,1.0989
2000-03-15,-2.1739
2000-03-17,0.0
2000-03-20,1.1111
2000-03-21,-2.1978
2000-03-24,-1.236
2000-03-27,2.924
2000-03-30,-1.1364
2000-03-31,3.4483
2000-04-04,1.1111
2000-04-14,1.0989
2000-04-17,2.1739
2000-04-24,-2.1277
2000-04-25,-2.1739
2000-04-26,2.2222
2000-04-27,-2.1739
2000-05-01,-2.2222
2000-05-04,2.2727
2000-05-09,1.1111
2000-05-11,0.5495
2000-05-15,0.5464
2000-05-16,2.1739
2000-05-17,0.0
2000-05-19,-1.0638
2000-05-25,-1.0753
2000-06-01,2.1739
2000-06-02,-1.0638
2000-06-06,-0.5376
2000-06-08,1.0811
2000-06-09,0.0
2000-06-12,0.5348
2000-06-15,-1.5957
2000-06-16,2.0541
2000-06-19,0.5435
2000-06-21,-2.7027
2000-06-27,-4.4444
2000-06-28,0.0
2000-06-29,2.3256
2000-07-06,2.2727
2000-07-07,0.0
2000-07-10,1.6667
2000-07-12,-1.6393
2000-07-13,0.0
2000-07-14,0.0
2000-07-17,-2.2222
2000-07-20,2.2727
2000-07-21,-1.1111
2000-07-25,-1.1236
2000-07-26,0.0
2000-07-28,0.0
2000-07-31,-0.5682
2000-08-02,1.1429
2000-08-08,-0.565
2000-08-09,0.0
2000-08-14,1.1364
2000-08-15,0.0
2000-08-17,1.1236
2000-08-18,1.6667
2000-08-21,-1.0929
2000-08-24,-1.105
2000-08-25,-1.1173
2000-08-29,0.565
2000-08-30,0.0
