ticker,NXTYQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-21,1.5625
2005-09-22,3.3846
2005-09-23,7.1429
2005-09-26,-2.7778
2005-09-27,1.4285999999999999
2005-09-28,-4.507
2005-09-29,-2.6549
2005-09-30,-1.5152
2005-10-03,-0.8
2005-10-04,-0.7444
2005-10-05,-0.1875
2005-10-06,-2.943
2005-10-07,-4.7742
2005-10-10,-3.4553
2005-10-11,-0.7018
2005-10-12,-6.9258
2005-10-13,2.5057
2005-10-14,-1.037
2005-10-17,-5.3144
2005-10-18,4.9802
2005-10-19,-2.1084
2005-10-20,0.0
2005-10-21,-0.2308
2005-10-24,0.2313
2005-10-25,0.3846
2005-10-26,-0.6897
2005-10-27,-0.463
2005-10-28,-1.3178
2005-10-31,0.8641
2005-11-01,-2.7259
2005-11-02,-0.8807
2005-11-03,-0.6462
2005-11-04,10.0813
2005-11-07,-2.8804
2005-11-08,-0.5323
2005-11-09,0.1529
2005-11-10,-1.4504000000000001
2005-11-11,0.6971
2005-11-14,0.0
2005-11-15,7.5385
2005-11-16,-1.2876
2005-11-17,0.1449
2005-11-18,-0.2894
2005-11-21,-1.2337
2005-11-22,-2.6451000000000002
2005-11-23,2.2641999999999998
2005-11-25,-1.107
2005-11-28,0.0
2005-11-29,-1.1194
2005-11-30,5.283
2005-12-01,-2.724
2005-12-02,-0.8843
2005-12-05,-2.6022
2005-12-06,2.6718
2005-12-07,3.3457
2005-12-08,0.5755
2005-12-09,0.0715
2005-12-12,1.787
2005-12-13,-4.1433
2005-12-14,-1.0989
2005-12-15,1.037
2005-12-16,-0.0513
2005-12-19,0.198
2005-12-20,-1.1713
2005-12-21,1.2593
2005-12-22,-0.5121
2005-12-23,-0.5882
2005-12-27,-0.1479
2005-12-28,0.0
2005-12-29,0.2963
2005-12-30,-1.034
2006-01-03,-1.4179
2006-01-04,3.9355
2006-01-05,-2.3298
2006-01-06,-1.1931
2006-01-09,-0.2264
2006-01-10,-0.1513
2006-01-11,0.0
2006-01-12,-1.5152
2006-01-13,0.7692
2006-01-17,-0.3817
2006-01-18,-0.3831
2006-01-19,0.0
2006-01-20,-1.0
2006-01-23,-0.9324
2006-01-24,1.3333
2006-01-25,-1.2384
2006-01-26,1.8025
2006-01-27,-1.0778
2006-01-30,-0.5447
2006-01-31,1.0955
2006-02-01,-0.5418
2006-02-02,1.0895
2006-02-03,0.077
2006-02-06,-1.9231
2006-02-07,-1.7255
2006-02-08,1.5164
2006-02-09,2.044
