ticker,TPAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-29,49.3151
2008-09-02,11.0092
2008-09-03,1.6529
2008-09-04,2.439
2008-09-05,0.0
2008-09-08,-4.7619
2008-09-09,-1.25
2008-09-10,5.4852
2008-09-11,1.6
2008-09-12,0.8268
2008-09-15,-0.82
2008-09-16,-3.1496
2008-09-17,2.439
2008-09-18,-5.5556
2008-09-19,4.2017
2008-09-22,-2.4194
2008-09-23,-0.8264
2008-09-24,-0.8333
2008-09-25,-15.1261
2008-09-26,-1.0891
2008-09-29,-2.9029
2008-09-30,7.732
2008-10-01,10.0478
2008-10-02,2.6087
2008-10-03,-3.3898
2008-10-06,-7.8947
2008-10-07,2.8571
2008-10-08,-2.7778
2008-10-09,-0.9524
2008-10-10,-0.4808
2008-10-13,7.2464
2008-10-14,0.0
2008-10-15,6.3063
2008-10-16,-0.8475
2008-10-17,1.7094
2008-10-20,0.0
2008-10-21,-3.3613
2008-10-22,-1.7391
2008-10-23,-2.6549
2008-10-24,-3.6364
2008-10-27,0.9434
2008-10-28,0.9346
2008-10-29,1.3889
2008-10-30,5.9361
2008-10-31,3.4483
2008-11-03,2.5
2008-11-04,0.813
2008-11-05,-4.0323
2008-11-06,-7.563
2008-11-07,7.2727
2008-11-10,-1.6949
2008-11-11,0.0
2008-11-12,-0.8621
2008-11-13,-2.6087
2008-11-14,-1.7856999999999998
2008-11-17,-0.9091
2008-11-18,-3.6696999999999997
2008-11-19,-6.6667
2008-11-20,-20.4082
2008-11-21,-35.8974
2008-11-24,6.0
2008-11-25,-5.6604
2008-11-26,30.0
2008-11-28,9.2308
2008-12-01,11.2676
2008-12-02,1.2658
2008-12-03,2.5
2008-12-04,-2.439
2008-12-05,-6.25
2008-12-08,-13.3333
2008-12-10,0.0
2008-12-11,0.0
2008-12-15,0.0
2008-12-16,-7.6923
2008-12-17,0.0
2008-12-18,1.6667
2008-12-23,-4.918
2008-12-24,3.4483
2008-12-29,0.0
2008-12-30,0.0
2008-12-31,-16.6667
2009-01-02,30.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,-1.5385
2009-01-08,17.1875
2009-01-09,0.0
2009-01-12,-1.3333
2009-01-13,1.3514
2009-01-14,-1.3333
2009-01-15,12.1622
2009-01-16,1.2048
2009-01-20,0.0
2009-01-21,1.1905000000000001
2009-01-22,-1.1764999999999999
2009-01-23,-10.7143
2009-01-26,-4.0
2009-01-28,-15.2778
2009-01-29,6.5574
2009-01-30,4.6154
