ticker,MCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3305
2000-01-04,-3.2538
2000-01-05,-1.7936999999999999
2000-01-06,0.4566
2000-01-07,2.2727
2000-01-10,0.2222
2000-01-11,1.1086
2000-01-12,-0.6579
2000-01-13,1.5453000000000001
2000-01-14,-0.8696
2000-01-18,-2.6316
2000-01-19,2.027
2000-01-20,-1.1038000000000001
2000-01-21,0.2232
2000-01-24,-1.1136
2000-01-25,-2.2523
2000-01-26,-4.8387
2000-01-27,1.2107
2000-01-28,-2.1531000000000002
2000-01-31,-1.467
2000-02-01,3.2258
2000-02-02,-0.2404
2000-02-03,0.7229
2000-02-04,-0.4785
2000-02-07,0.7212
2000-02-08,1.1933
2000-02-09,-1.4151
2000-02-10,-1.9139
2000-02-11,-1.7073
2000-02-14,4.2184
2000-02-15,3.5714
2000-02-16,-0.9287
2000-02-17,1.8692
2000-02-18,-0.4587
2000-02-22,1.1521
2000-02-23,-0.6834
2000-02-24,-0.4587
2000-02-25,-1.3825
2000-02-28,-0.7009
2000-02-29,-1.4118
2000-03-01,1.1933
2000-03-02,-1.6509
2000-03-03,1.4388
2000-03-06,-1.4184
2000-03-07,-1.4388
2000-03-08,0.2433
2000-03-09,3.1553
2000-03-10,-1.1764999999999999
2000-03-13,2.3810000000000002
2000-03-14,2.093
2000-03-15,4.7836
2000-03-16,1.087
2000-03-17,-1.2903
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,3.0501
2000-03-23,1.4799
2000-03-24,-0.4167
2000-03-27,0.0
2000-03-28,-1.2551999999999999
2000-03-29,-2.7542
2000-03-30,-0.8715
2000-03-31,0.6593
2000-04-03,-1.5284
2000-04-04,-1.7738
2000-04-05,-2.2573
2000-04-06,3.9261
2000-04-07,-0.4444
2000-04-10,0.2232
2000-04-11,-0.2227
2000-04-12,-0.2232
2000-04-13,-3.3557
2000-04-14,0.6944
2000-04-17,3.908
2000-04-18,-1.5487
2000-04-19,2.2472
2000-04-20,1.5385
2000-04-24,-0.2165
2000-04-25,3.0369
2000-04-26,0.0
2000-04-27,1.8947
2000-04-28,-0.4132
2000-05-01,3.112
2000-05-02,-3.6217
2000-05-03,1.0438
2000-05-04,3.0992
2000-05-05,-2.4048
2000-05-08,-0.4107
2000-05-09,-0.2062
2000-05-10,-1.4463
2000-05-11,0.4193
2000-05-12,1.2526
2000-05-15,-0.6186
2000-05-16,4.1494
2000-05-17,-0.2072
2000-05-18,0.2008
2000-05-19,-3.6071999999999997
