ticker,ZS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-16,106.25
2018-03-19,-15.4545
2018-03-20,8.8889
2018-03-21,2.3041
2018-03-22,-4.0219
2018-03-23,-1.3409
2018-03-26,-5.4366
2018-03-27,-0.2875
2018-03-28,-0.7928
2018-03-29,1.9615
2018-04-02,-3.5981
2018-04-03,-0.9608
2018-04-04,4.3657
2018-04-05,2.0021
2018-04-06,-1.0866
2018-04-09,-5.9532
2018-04-10,5.7649
2018-04-11,-1.2825
2018-04-12,0.9022
2018-04-13,-1.7167
2018-04-16,5.4949
2018-04-17,-0.8279
2018-04-18,-0.3478
2018-04-19,-2.164
2018-04-20,-2.8898
2018-04-23,-1.3226
2018-04-24,1.0424
2018-04-25,3.5741
2018-04-26,1.921
2018-04-27,0.2094
2018-04-30,4.1101
2018-05-01,-2.5427
2018-05-02,2.815
2018-05-03,-7.9466
2018-05-04,1.0519
2018-05-07,-0.7538
2018-05-08,-0.434
2018-05-09,1.1623999999999999
2018-05-10,1.1849
2018-05-11,4.0454
2018-05-14,-2.899
2018-05-15,-3.7232
2018-05-16,-1.1675
2018-05-17,1.1074
2018-05-18,-0.4016
2018-05-21,0.5132
2018-05-22,-1.2035
2018-05-23,-1.9564
2018-05-24,-0.0377
2018-05-25,-6.0264
2018-05-29,2.7255000000000003
2018-05-30,-0.5072
2018-05-31,2.9804
2018-06-01,7.3115
2018-06-04,3.6551
2018-06-05,3.1496
2018-06-06,1.7259
2018-06-07,23.2953
2018-06-08,7.2506
2018-06-11,1.7765
2018-06-12,-5.6242
2018-06-13,-0.2569
2018-06-14,1.4422
2018-06-15,4.0873
2018-06-18,-1.4634
2018-06-19,-3.0693
2018-06-20,-3.2559
2018-06-21,-7.0608
2018-06-22,4.0329
2018-06-25,-0.7371
2018-06-26,-1.3476
2018-06-27,-3.5127
2018-06-28,2.0225
2018-06-29,1.2461
2018-07-02,3.7203
2018-07-03,-1.7530000000000001
2018-07-05,0.6588
2018-07-06,3.6542
2018-07-09,4.8934
2018-07-10,-3.3358
2018-07-11,1.5049000000000001
2018-07-12,3.6299
2018-07-13,-1.9734
2018-07-16,3.4726
2018-07-17,1.8481999999999998
2018-07-18,-0.4776
2018-07-19,-3.1189999999999998
2018-07-20,-1.4611
2018-07-23,3.996
2018-07-24,-3.7941000000000003
2018-07-25,3.5418
2018-07-26,-3.7603
2018-07-27,-5.7726
2018-07-30,-3.1033
2018-07-31,-2.5124
2018-08-01,2.124
2018-08-02,2.69
