ticker,TBBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-27,-1.6011
2004-12-28,7.0508
2004-12-29,-4.7498000000000005
2004-12-30,2.992
2004-12-31,3.2923999999999998
2005-01-03,-2.0
2005-01-04,0.4464
2005-01-05,-0.6349
2005-01-06,-4.0895
2005-01-07,1.5323
2005-01-10,-1.5748
2005-01-11,-1.4
2005-01-12,1.0818
2005-01-13,-4.6823
2005-01-14,1.7544
2005-01-18,0.0
2005-01-19,-1.7931
2005-01-20,-0.9129
2005-01-21,0.4252
2005-01-24,2.3289
2005-01-25,3.4483
2005-01-26,-5.0667
2005-01-27,-0.9831
2005-01-28,-0.2837
2005-01-31,1.3514
2005-02-01,-3.0877
2005-02-02,1.3758
2005-02-03,-6.8571
2005-02-04,1.6104
2005-02-07,1.8868
2005-02-08,3.2593
2005-02-09,-3.1564
2005-02-10,1.8519
2005-02-11,0.8
2005-02-14,1.3709
2005-02-15,-0.3559
2005-02-16,0.8929
2005-02-17,-0.4602
2005-02-18,-0.0711
2005-02-22,0.3559
2005-02-23,-0.3546
2005-02-24,0.2135
2005-02-25,-0.2131
2005-02-28,-0.9253
2005-03-01,1.2931
2005-03-02,0.0
2005-03-03,-0.3546
2005-03-04,-0.0712
2005-03-07,0.7835
2005-03-08,-0.3534
2005-03-09,-0.5674
2005-03-10,0.0713
2005-03-11,-0.5702
2005-03-14,-0.2151
2005-03-15,0.2874
2005-03-16,-1.2894
2005-03-17,1.9594
2005-03-18,-0.427
2005-03-21,0.4289
2005-03-22,-0.7117
2005-03-23,0.3584
2005-03-24,0.0
2005-03-28,0.0
2005-03-29,-1.0714
2005-03-30,1.083
2005-03-31,0.0
2005-04-01,-1.4285999999999999
2005-04-04,1.5941999999999998
2005-04-05,-0.214
2005-04-06,2.7161999999999997
2005-04-07,-0.8351
2005-04-08,-1.5439
2005-04-11,-1.7819
2005-04-12,2.3948
2005-04-13,-2.5514
2005-04-14,1.0182
2005-04-15,-0.504
2005-04-18,0.8683
2005-04-19,-2.2956
2005-04-20,0.0
2005-04-21,1.5419
2005-04-22,-1.7354
2005-04-25,2.7962
2005-04-26,0.1432
2005-04-27,1.787
2005-04-28,1.4747
2005-04-29,7.128
2005-05-02,-3.9406
2005-05-03,-0.538
2005-05-04,-1.7579
2005-05-05,-0.3441
2005-05-06,0.1381
2005-05-09,1.3793
2005-05-10,0.4082
2005-05-11,0.9485
2005-05-12,1.4094
2005-05-13,-0.728
2005-05-16,1.1333
2005-05-17,0.1318
