ticker,ROBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-16,4.0
2007-08-10,-99.9904
2007-12-21,919900.0
2008-01-04,30.4348
2008-08-22,0.0
2008-08-25,0.0
2008-08-27,33.3333
2008-09-02,-62.5
2008-09-03,33.3333
2008-09-10,-25.0
2008-09-17,-33.3333
2008-09-18,0.0
2008-09-24,0.0
2008-10-08,0.0
2008-10-09,0.0
2008-10-10,0.0
2008-10-13,50.0
2008-10-14,-33.3333
2008-10-15,50.0
2008-10-20,0.0
2008-10-21,-40.0
2008-10-22,11.1111
2008-10-23,50.0
2008-10-27,-60.0
2008-10-28,66.6667
2008-10-31,20.0
2008-11-03,-16.6667
2008-11-04,0.0
2008-11-06,20.0
2008-11-10,-83.3333
2008-11-11,400.0
2008-11-12,50.0
2008-11-17,-60.0
2008-11-18,150.0
2008-11-20,-6.6667
2008-11-25,0.0
2008-11-26,0.0
2008-12-12,-42.8571
2008-12-29,0.0
2008-12-30,72.5
2008-12-31,1.4493
2009-01-02,-71.4286
2009-01-05,175.0
2009-01-06,-10.9091
2009-01-09,-18.3673
2009-01-12,-25.0
2009-01-14,33.3333
2009-01-15,-25.0
2009-01-16,-16.6667
2009-01-22,-32.0
2009-01-23,182.3529
2009-01-28,14.5833
2009-02-11,-27.2727
2009-02-12,-12.5
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,14.2857
2009-02-20,-2.5
2009-02-23,5.1282
2009-02-24,21.9512
2009-02-25,40.0
2009-02-26,-28.5714
2009-03-05,10.0
2009-03-06,0.0
2009-03-09,-3.6364
2009-03-10,0.0
2009-03-12,41.5094
2009-03-13,0.0
2009-03-20,33.3333
2009-03-27,-10.0
2009-03-31,-66.6667
2009-04-02,116.6667
2009-04-03,0.0
2009-04-07,0.0
2009-04-13,0.0
2009-04-14,-46.1538
2009-04-16,85.7143
2009-04-21,-40.0
2009-04-22,66.6667
2009-04-23,-7.6923
2009-04-24,8.3333
2009-04-27,0.0
2009-04-28,-23.0769
2009-04-29,0.0
2009-05-05,-22.0
2009-05-06,41.0256
2009-05-07,-9.0909
2009-05-11,-30.0
2009-05-12,42.8571
2009-05-18,100.0
2009-05-19,-5.0
2009-05-20,-10.526299999999999
2009-05-21,0.0
2009-05-22,0.0
2009-05-26,-29.4118
2009-05-27,38.3333
2009-05-28,-28.9157
2009-05-29,32.2034
2009-06-01,15.3846
2009-06-02,-27.7778
2009-06-03,-6.9231
2009-06-04,7.438
2009-06-08,0.0
2009-06-11,1.5385
