ticker,COOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-29,-10.0
2012-03-30,0.0
2012-04-02,-16.6667
2012-04-03,-10.6667
2012-04-04,1.4925
2012-04-05,10.2941
2012-04-09,2.6667
2012-04-10,-2.5974
2012-04-11,-6.6667
2012-04-12,-5.7143
2012-04-13,1.5152
2012-04-16,-2.9851
2012-04-17,4.6154
2012-04-18,-4.4118
2012-04-19,0.0
2012-04-20,-0.7692
2012-04-23,-0.7752
2012-04-24,-6.25
2012-04-25,0.0
2012-04-26,-0.8333
2012-04-27,0.8403
2012-04-30,-1.6667
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,-0.5085
2012-05-04,-2.8961
2012-05-07,-1.7544
2012-05-08,-5.3571
2012-05-09,1.8868
2012-05-10,0.0
2012-05-11,0.0231
2012-05-14,0.0
2012-05-15,1.8051
2012-05-16,0.0227
2012-05-17,-1.8182
2012-05-18,0.0
2012-05-21,-1.8519
2012-05-22,0.0
2012-05-23,-5.6604
2012-05-24,-1.0
2012-05-25,-9.0909
2012-05-29,-4.4444
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,16.2791
2012-06-04,-2.0
2012-06-05,2.0408
2012-06-06,14.0
2012-06-07,-5.2632
2012-06-08,5.5556
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,-7.0175
2012-06-15,3.7736
2012-06-18,-5.4545
2012-06-19,5.7692
2012-06-20,-1.8182
2012-06-21,-5.5556
2012-06-22,1.9607999999999999
2012-06-25,-5.7692
2012-06-26,2.0408
2012-06-27,6.0
2012-06-28,-7.5472
2012-06-29,2.0408
2012-07-02,0.0
2012-07-03,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-09,0.0
2012-07-10,-6.0
2012-07-11,2.1277
2012-07-12,4.1667
2012-07-13,-4.0
2012-07-16,3.125
2012-07-17,-5.0505
2012-07-18,-2.1277
2012-07-19,0.0
2012-07-20,13.0435
2012-07-23,-3.8462
2012-07-24,0.0
2012-07-25,-2.0
2012-07-26,-0.9949
2012-07-27,13.3728
2012-07-30,5.4545
2012-07-31,-1.7241
2012-08-01,0.0
2012-08-02,-10.526299999999999
2012-08-03,4.902
2012-08-06,-2.8037
2012-08-07,-3.8462
2012-08-08,0.0
2012-08-09,-0.2
2012-08-10,0.2004
2012-08-13,0.0
2012-08-14,0.2
2012-08-15,3.7923999999999998
2012-08-16,0.0
2012-08-17,-1.9231
2012-08-20,-1.9607999999999999
2012-08-21,0.0
