ticker,LMRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-14,0.4737
2014-11-17,-0.2095
2014-11-18,-0.2625
2014-11-19,1.3158
2014-11-20,-1.0909
2014-11-21,0.0525
2014-11-24,-0.2625
2014-11-25,0.0
2014-11-26,0.2105
2014-11-28,-0.2101
2014-12-01,0.1579
2014-12-02,-2.68
2014-12-03,1.2419
2014-12-04,-0.0533
2014-12-05,-0.9605
2014-12-08,-0.0539
2014-12-09,-0.2695
2014-12-10,1.0811
2014-12-11,-1.1764999999999999
2014-12-12,-0.091
2014-12-15,1.4993
2014-12-16,-0.4803
2014-12-17,0.2698
2014-12-18,-1.4455
2014-12-19,0.3798
2014-12-22,-0.5135
2014-12-23,-2.1244
2014-12-24,-1.4655
2014-12-26,1.0141
2014-12-29,-2.3982
2014-12-30,-4.9143
2014-12-31,1.6827
2015-01-02,2.5414
2015-01-05,0.0
2015-01-06,-1.3833
2015-01-07,-2.3963
2015-01-08,2.2754
2015-01-09,3.5714
2015-01-12,-0.5088
2015-01-13,-3.9773
2015-01-14,-1.8343
2015-01-15,6.088
2015-01-16,-4.1477
2015-01-20,1.8969
2015-01-21,-5.5265
2015-01-22,3.3251
2015-01-23,-2.0858
2015-01-26,4.7474
2015-01-27,-2.6729000000000003
2015-01-28,1.4925
2015-01-29,1.4706000000000001
2015-01-30,1.2753999999999999
2015-02-02,2.3468999999999998
2015-02-03,-0.2796
2015-02-04,-2.6673999999999998
2015-02-05,-0.7549
2015-02-06,0.9362
2015-02-09,0.4058
2015-02-10,0.0577
2015-02-11,-0.6924
2015-02-12,-0.9297
2015-02-13,2.0528
2015-02-17,-3.3333
2015-02-18,1.7241
2015-02-19,-0.8767
2015-02-20,-1.7689
2015-02-23,0.4742
2015-02-24,1.0813
2015-02-25,-0.4137
2015-02-26,1.6320000000000001
2015-02-27,3.3693
2015-03-02,0.8361
2015-03-03,0.112
2015-03-04,-2.2943
2015-03-05,3.2073
2015-03-06,-0.6382
2015-03-09,0.6981
2015-03-10,-7.0438
2015-03-11,8.9499
2015-03-12,1.5333999999999999
2015-03-13,-1.5102
2015-03-16,-1.2048
2015-03-17,-2.3282
2015-03-18,1.2202
2015-03-19,-0.8691
2015-03-20,1.5271
2015-03-23,0.4457
2015-03-24,-2.7732
2015-03-25,1.4261
2015-03-26,4.0495
2015-03-27,-0.5946
2015-03-30,-2.6101
2015-03-31,1.5634000000000001
2015-04-01,-4.8652999999999995
2015-04-02,3.2072
2015-04-06,-4.4233
