ticker,MRZM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-16,150.0
2008-10-06,0.0
2008-10-10,20.0
2010-05-03,0.0
2010-11-10,1583.3333
2010-12-15,3.9604
2010-12-20,42.8571
2010-12-21,0.0
2010-12-23,6.6667
2010-12-27,21.875
2010-12-28,-10.2564
2010-12-29,2.8571
2010-12-30,-13.8889
2010-12-31,16.129
2011-01-03,-0.5556
2011-01-05,-2.2346
2011-01-06,5.7143
2011-01-07,8.1081
2011-01-11,12.5
2011-01-12,8.8889
2011-01-13,-18.3673
2011-01-14,1.0
2011-01-20,3.9604
2011-01-24,-7.1429
2011-01-25,-2.5641
2011-01-26,0.0
2011-01-27,10.526299999999999
2011-01-28,0.0
2011-01-31,-9.5238
2011-02-01,-2.6316
2011-02-02,2.7027
2011-02-03,2.6316
2011-02-04,-7.6923
2011-02-07,0.0
2011-02-08,0.0
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,0.0
2011-02-14,-2.7778
2011-02-15,14.2857
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-22,5.0
2011-02-23,1.9048
2011-02-24,0.0
2011-02-25,-1.8692
2011-02-28,2.8571
2011-03-01,4.1667
2011-03-02,6.6667
2011-03-03,45.8333
2011-03-04,7.1429
2011-03-07,5.3333
2011-03-08,0.0
2011-03-09,12.6582
2011-03-10,0.0
2011-03-11,7.8652
2011-03-14,0.625
2011-03-15,-2.6915
2011-03-16,-7.4468
2011-03-17,11.4943
2011-03-18,-10.3093
2011-03-21,-2.2989
2011-03-22,2.3529
2011-03-23,1.1494
2011-03-25,12.5
2011-03-28,1.0101
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,-1.4
2011-04-01,-0.6085
2011-04-04,-2.0408
2011-04-05,-8.3333
2011-04-06,2.2727
2011-04-07,0.0
2011-04-08,-1.1111
2011-04-11,1.1236
2011-04-12,-1.3333
2011-04-13,-0.2252
2011-04-14,2.7088
2011-04-18,-1.0989
2011-04-20,-5.5556
2011-04-21,-3.5294
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,3.6585
2011-04-28,3.5294
2011-04-29,2.2727
2011-05-02,-5.5556
2011-05-03,5.8824
2011-05-04,-4.4444
2011-05-05,0.0
2011-05-06,-2.3256
2011-05-09,0.0
2011-05-10,5.9524
2011-05-11,0.0
2011-05-13,-4.0449
2011-05-16,4.2155
2011-05-17,-4.4944
2011-05-18,0.4706
2011-05-19,4.2155
2011-05-20,3.5955
2011-05-23,-2.1692
