ticker,BLNMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-16,-13.0435
2006-05-19,-5.0
2006-06-06,-10.526299999999999
2006-06-12,-3.9154
2006-06-14,-17.3522
2006-07-10,29.6296
2006-07-27,-5.7143
2006-07-31,-1.5152
2006-08-01,4.6731
2006-08-02,14.7529
2006-08-03,-4.4989
2006-08-04,-0.2179
2006-08-14,7.0397
2006-08-17,-14.6131
2006-09-19,-8.7684
2006-09-20,-22.8491
2006-09-28,6.5552
2006-10-16,10.3186
2006-10-26,12.2195
2006-10-27,-1.8016
2006-10-31,0.3831
2006-11-01,9.9016
2006-11-03,-8.2785
2006-11-07,25.9215
2006-11-08,-1.2974999999999999
2006-11-09,-2.1802
2006-11-10,-3.5562
2006-11-13,-7.8845
2006-11-27,5.6632
2006-11-28,4.574
2006-12-04,2.404
2006-12-13,6.1624
2006-12-14,0.7371
2006-12-15,0.2134
2006-12-18,-1.0648
2006-12-22,-6.1962
2006-12-28,-1.8194
2007-01-03,7.8631
2007-01-05,-3.4205
2007-01-08,2.5641
2007-01-10,-5.0
2007-01-11,7.4671
2007-01-12,-0.3367
2007-01-19,-12.1622
2007-01-22,-4.6154
2007-01-23,0.5865
2007-01-24,2.0408
2007-01-25,4.0357
2007-02-09,-1.1329
2007-02-15,0.2257
2007-02-23,3.1006
2007-03-01,-0.2688
2007-03-08,3.7399
2007-03-09,1.3316
2007-03-12,2.5641
2007-03-15,-1.5
2007-03-29,6.5514
2007-04-09,1.6823000000000001
2007-04-10,0.7321
2007-04-11,-2.3256
2007-04-12,-2.3810000000000002
2007-04-13,-2.1037
2007-04-16,-2.3045999999999998
2007-04-17,-0.5419
2007-04-20,8.2853
2007-04-23,-1.8795
2007-04-24,-3.4691
2007-04-26,3.7187
2007-04-30,-1.0244
2007-05-01,2.2831
2007-05-03,13.0952
2007-05-04,-1.8947
2007-05-07,6.25
2007-05-08,-0.6312
2007-05-09,0.6098
2007-05-10,9.1288
2007-05-11,-0.8909
2007-05-14,-5.6736
2007-05-15,6.6955
2007-05-16,-8.5721
2007-05-17,-5.6077
2007-05-18,-3.3333
2007-05-22,4.7831
2007-05-23,-2.9724
2007-05-24,0.9026
2007-05-25,1.5722
2007-05-29,3.5495
2007-05-30,-3.0541
2007-05-31,0.4254
2007-06-01,0.8868
2007-06-04,0.2099
2007-06-05,7.6722
2007-06-06,-4.5112
2007-06-07,-1.1843
2007-06-08,-1.8557000000000001
2007-06-11,4.0179
2007-06-12,-2.0449
