ticker,NEE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6496
2000-01-04,1.8182
2000-01-05,3.2738
2000-01-06,0.0
2000-01-07,2.8818
2000-01-10,-0.8403
2000-01-11,-1.1299
2000-01-12,2.1429
2000-01-13,-0.979
2000-01-14,-1.8362
2000-01-18,-2.446
2000-01-19,2.3599
2000-01-20,-1.1527
2000-01-21,2.6239
2000-01-24,-0.5682
2000-01-25,-3.4286
2000-01-26,0.2959
2000-01-27,-2.0649
2000-01-28,-0.4518
2000-01-31,2.118
2000-02-01,-2.0741
2000-02-02,0.6051
2000-02-03,3.1579
2000-02-04,-2.9154999999999998
2000-02-07,0.1502
2000-02-08,0.2999
2000-02-09,-1.3453
2000-02-10,-2.2727
2000-02-11,1.3953
2000-02-14,-0.3058
2000-02-15,0.3067
2000-02-16,0.1529
2000-02-17,0.1527
2000-02-18,-1.6768
2000-02-22,1.3953
2000-02-23,-0.3609
2000-02-24,-5.4432
2000-02-25,-3.125
2000-02-28,3.5654
2000-02-29,1.3115
2000-03-01,-0.1618
2000-03-02,0.6483
2000-03-03,0.4831
2000-03-06,-2.7244
2000-03-07,3.6244
2000-03-08,5.0874
2000-03-09,3.6309
2000-03-10,2.1898
2000-03-13,-3.7143
2000-03-14,-0.5935
2000-03-15,5.9701
2000-03-16,1.4085
2000-03-17,-2.5
2000-03-20,-1.8519
2000-03-21,-3.9187
2000-03-22,-1.5106000000000002
2000-03-23,4.2945
2000-03-24,1.9118
2000-03-27,7.6479
2000-03-28,-2.5469
2000-03-29,-1.7882
2000-03-30,3.0812
2000-03-31,0.1359
2000-04-03,-1.6282
2000-04-04,1.931
2000-04-05,-0.2706
2000-04-06,-0.6784
2000-04-07,1.776
2000-04-10,1.3423
2000-04-11,-0.9272
2000-04-12,1.0695000000000001
2000-04-13,-0.3968
2000-04-14,-3.3201
2000-04-17,-4.2582
2000-04-18,-0.5739
2000-04-19,3.6075
2000-04-20,0.6964
2000-04-24,0.5533
2000-04-25,3.7138999999999998
2000-04-26,-0.1326
2000-04-27,-3.3201
2000-04-28,-0.5495
2000-05-01,0.2762
2000-05-02,-0.4132
2000-05-03,0.6916
2000-05-04,0.6868
2000-05-05,-1.0914
2000-05-08,3.7241
2000-05-09,-0.6649
2000-05-10,1.2048
2000-05-11,3.0423
2000-05-12,-2.3106999999999998
2000-05-15,2.2339
2000-05-16,-2.9563
2000-05-17,-0.9272
2000-05-18,1.8717000000000001
2000-05-19,0.3937
2000-05-22,-0.3922
