ticker,SYXXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-05,-0.9545
2010-10-25,62.3348
2010-10-27,-0.9498
2010-11-15,-9.589
2010-11-18,-4.2992
2011-01-25,28.2406
2011-02-22,-1.2346
2011-06-15,-47.75
2011-06-17,0.0598
2011-06-20,-2.3909000000000002
2011-06-27,-3.0006
2011-06-28,-2.3359
2011-06-30,-8.7266
2011-07-05,17.9533
2011-07-11,-5.674
2011-07-19,31.3813
2011-07-20,0.2665
2011-08-02,-9.3984
2011-08-05,-19.7067
2011-08-08,-0.5646
2011-08-09,-10.7548
2011-08-10,-0.2994
2011-08-18,0.1877
2011-08-19,-5.695
2011-08-23,-6.5554
2011-08-24,-7.0153
2011-09-07,33.4248
2011-09-26,-31.1857
2011-10-31,-16.1853
2011-11-15,34.8782
2011-12-05,35.1101
2011-12-06,-1.7281
2011-12-07,5.2754
2011-12-08,-10.6524
2011-12-09,-0.776
2011-12-13,-3.235
2011-12-16,-0.5878
2012-01-09,-4.6933
2012-01-10,-8.4141
2012-01-17,9.8645
2012-01-18,10.9827
2012-01-19,-5.2778
2012-01-24,0.0
2012-01-25,-1.4663
2012-01-26,10.0074
2012-01-27,0.0338
2012-02-02,-10.6491
2012-02-06,3.3295
2012-02-08,0.0732
2012-02-13,0.9879
2012-02-16,-6.6667
2012-02-21,7.4534
2012-02-23,-9.8266
2012-03-05,13.461500000000001
2012-03-06,-3.9548
2012-03-08,4.1176
2012-03-12,-2.8249
2012-03-14,-3.4884
2012-03-15,-5.4217
2012-03-22,5.7325
2012-04-03,-5.4217
2012-04-05,-5.0955
2012-04-16,-8.0537
2012-04-23,6.5693
2012-05-23,0.6849
2012-06-04,-11.5646
2012-06-06,-0.7692
2012-06-20,-20.155
2012-06-29,16.9903
2012-07-10,12.0332
2012-07-11,3.7037
2012-08-16,-14.2857
2012-08-20,0.0
2012-08-27,5.8333
2012-08-28,2.3622
2012-09-28,0.7692
2012-10-05,0.0
2012-10-09,11.4504
2012-10-10,-7.1918
2012-10-11,0.0
2012-10-16,2.952
2012-10-17,-2.8674
2012-10-22,7.7491
2012-10-31,-8.9041
2012-11-01,-3.3835
2012-11-16,5.0584
2012-11-26,6.2963000000000005
2012-11-27,-3.4843
2012-12-03,-0.2256
2012-12-10,0.9498
2012-12-12,0.0
2012-12-13,-10.8423
2012-12-17,27.0352
2012-12-18,-2.0174
2012-12-19,3.0279
2012-12-20,0.0
2012-12-21,8.8558
2012-12-27,-0.072
2012-12-28,14.2291
