ticker,EDRY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-01,9.9338
2018-06-04,3.6145
2018-06-05,-11.5116
2018-06-06,-0.7884
2018-06-07,1.0596
2018-06-08,-2.6212
2018-06-11,2.1521
2018-06-12,8.6958
2018-06-13,-3.0291
2018-06-14,7.5125
2018-06-15,-5.1273
2018-06-18,-1.8382
2018-06-19,3.5893
2018-06-20,0.6327
2018-06-21,-2.1557
2018-06-22,13.8923
2018-06-25,-11.6604
2018-06-26,-3.2847
2018-06-27,3.3962
2018-06-28,-0.2433
2018-06-29,1.8293
2018-07-02,-0.479
2018-07-03,1.9254
2018-07-05,-2.5974
2018-07-06,0.0
2018-07-09,0.0
2018-07-10,1.2121
2018-07-11,-8.8024
2018-07-12,4.7275
2018-07-13,-0.4389
2018-07-16,0.2519
2018-07-17,-0.8794
2018-07-18,-3.0418
2018-07-19,-2.6144
2018-07-20,4.698
2018-07-23,0.3846
2018-07-24,-0.1277
2018-07-25,2.1739
2018-07-26,-2.1277
2018-07-27,-0.2558
2018-07-30,-4.4872
2018-07-31,1.2081
2018-08-01,-0.3979
2018-08-02,0.0
2018-08-03,-3.5952
2018-08-06,-1.2431
2018-08-07,-5.6294
2018-08-08,-2.186
2018-08-09,6.0606
2018-08-10,-4.1429
2018-08-13,-0.5961
2018-08-14,-0.2999
2018-08-15,-4.5113
2018-08-16,6.2992
2018-08-17,3.7037
2018-08-20,4.2857
2018-08-21,-1.2328999999999999
2018-08-22,0.6935
2018-08-23,-0.1377
2018-08-24,-1.3793
2018-08-27,0.0196
2018-08-28,1.657
2018-08-29,-0.9615
2018-08-30,-2.7778
2018-08-31,3.2857
2018-09-04,-1.6598000000000002
2018-09-05,-2.3924
2018-09-06,3.0274
2018-09-07,-0.0014
2018-09-10,-2.5721
2018-09-11,2.4978
2018-09-12,0.1401
2018-09-13,-2.0979
2018-09-14,1.1414
2018-09-17,0.1427
2018-09-18,1.4104
2018-09-19,4.3115
2018-09-20,2.4173
2018-09-21,-3.0112
2018-09-24,2.0134
2018-09-25,13.4211
2018-09-26,8.0046
2018-09-27,-1.9334
2018-09-28,3.0668
2018-10-01,2.0202
2018-10-02,1.2333
2018-10-03,0.7357
2018-10-04,6.2308
2018-10-05,-3.9423
2018-10-08,-5.9059
2018-10-09,0.5319
2018-10-10,-4.7619
2018-10-11,1.1111
2018-10-12,-1.0956
2018-10-15,13.6629
2018-10-16,-4.3988
2018-10-17,-3.2720000000000002
2018-10-18,4.7569
