ticker,TDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9762
2000-01-04,-6.953
2000-01-05,-2.4176
2000-01-06,-9.3468
2000-01-07,7.205
2000-01-10,7.416
2000-01-11,-3.3441
2000-01-12,-4.4643
2000-01-13,2.8037
2000-01-14,-0.5114
2000-01-18,4.6259
2000-01-19,3.4934
2000-01-20,-0.1055
2000-01-21,2.6927
2000-01-24,2.4165
2000-01-25,0.0
2000-01-26,1.4056
2000-01-27,-15.2475
2000-01-28,0.2336
2000-01-31,-3.0303
2000-02-01,1.9231
2000-02-02,2.5943
2000-02-03,2.069
2000-02-04,-3.9977
2000-02-07,-1.4663
2000-02-08,2.8571
2000-02-09,-6.0185
2000-02-10,-0.9852
2000-02-11,-1.7412999999999998
2000-02-14,-2.2152
2000-02-15,1.877
2000-02-16,1.7789000000000001
2000-02-17,8.2397
2000-02-18,-4.1522
2000-02-22,0.2407
2000-02-23,3.8415
2000-02-24,0.0
2000-02-25,-1.2717
2000-02-28,0.4684
2000-02-29,-1.6317
2000-03-01,2.1327
2000-03-02,6.7285
2000-03-03,0.4348
2000-03-06,-0.6494
2000-03-07,-6.1002
2000-03-08,-1.0441
2000-03-09,0.3517
2000-03-10,-0.9346
2000-03-13,-1.1203
2000-03-14,0.1791
2000-03-15,-2.7414
2000-03-16,-1.7157
2000-03-17,3.3666
2000-03-20,0.3619
2000-03-21,0.1803
2000-03-22,0.7199
2000-03-23,3.9905
2000-03-24,-1.0309
2000-03-27,-2.1991
2000-03-28,4.142
2000-03-29,1.7045
2000-03-30,-0.5587
2000-03-31,-0.2247
2000-04-03,-3.3784
2000-04-04,-2.0979
2000-04-05,0.5952
2000-04-06,2.8402
2000-04-07,1.7261
2000-04-10,-3.3937
2000-04-11,-3.3958
2000-04-12,-3.7576
2000-04-13,0.6297
2000-04-14,-4.6308
2000-04-17,-2.0341
2000-04-18,4.9565
2000-04-19,2.9994
2000-04-20,1.5489000000000002
2000-04-24,-3.1117
2000-04-25,3.4635
2000-04-26,0.3043
2000-04-27,-0.9709
2000-04-28,0.0
2000-05-01,2.8186
2000-05-02,-2.9201
2000-05-03,-1.6575
2000-05-04,2.0599
2000-05-05,2.8746
2000-05-08,-1.1891
2000-05-09,1.5644
2000-05-10,-2.8436
2000-05-11,2.5
2000-05-12,2.0226
2000-05-15,0.4082
2000-05-16,1.2195
2000-05-17,-1.5491000000000001
2000-05-18,-1.4569
2000-05-19,-2.8977
2000-05-22,-1.0962
