ticker,KALA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-20,23.2667
2017-07-21,3.2991
2017-07-24,1.6754
2017-07-25,-1.1329
2017-07-26,-1.1458
2017-07-27,6.1644
2017-07-28,1.0918
2017-07-31,-1.4237
2017-08-01,-0.8964
2017-08-02,0.0
2017-08-03,0.1005
2017-08-04,0.6526
2017-08-07,-0.2993
2017-08-08,-0.7004
2017-08-09,0.806
2017-08-10,-4.7976
2017-08-11,3.2021
2017-08-14,9.3082
2017-08-15,2.3731999999999998
2017-08-16,1.5909
2017-08-17,-2.8188
2017-08-18,-1.6575
2017-08-21,0.6554
2017-08-22,0.6047
2017-08-23,0.8322
2017-08-24,-0.2293
2017-08-25,-1.7923
2017-08-28,5.5686
2017-08-29,0.1773
2017-08-30,4.9558
2017-08-31,6.661
2017-09-01,-1.2253
2017-09-05,0.8003
2017-09-06,2.4215999999999998
2017-09-07,-0.1938
2017-09-08,-1.3204
2017-09-11,1.3381
2017-09-12,1.3204
2017-09-13,0.4216
2017-09-14,1.2595
2017-09-15,-4.7493
2017-09-18,-12.979800000000001
2017-09-19,-6.2756
2017-09-20,-3.6390000000000002
2017-09-21,3.4743
2017-09-22,0.6813
2017-09-25,4.7849
2017-09-26,8.1642
2017-09-27,0.3412
2017-09-28,-1.9125
2017-09-29,-1.0399
2017-10-02,-1.0946
2017-10-03,2.5675
2017-10-04,-1.1221
2017-10-05,0.4365
2017-10-06,-1.7384
2017-10-09,1.0615
2017-10-10,-0.1313
2017-10-11,-2.1911
2017-10-12,-0.7616
2017-10-13,0.0
2017-10-16,-7.7201
2017-10-17,-8.2681
2017-10-18,-7.7867
2017-10-19,-1.5615999999999999
2017-10-20,-0.8813
2017-10-23,-0.1186
2017-10-24,-2.0772
2017-10-25,0.0
2017-10-26,-6.6061
2017-10-27,-1.3628
2017-10-30,3.0921
2017-10-31,2.4888
2017-11-01,-6.4134
2017-11-02,-8.982
2017-11-03,19.2982
2017-11-06,14.5833
2017-11-07,-2.6738
2017-11-08,-0.9341
2017-11-09,2.1076
2017-11-10,4.2368
2017-11-13,3.9083
2017-11-14,0.652
2017-11-15,-4.4843
2017-11-16,-3.1821
2017-11-17,0.7543
2017-11-20,4.8128
2017-11-21,5.6122
2017-11-22,3.1401
2017-11-24,-4.356
2017-11-27,-2.3017
2017-11-28,-1.5539
2017-11-29,-1.2729
2017-11-30,-1.2378
2017-12-01,-1.3054999999999999
2017-12-04,-4.6561
2017-12-05,0.9989
