ticker,LCTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.4085
2000-01-04,-3.4722
2000-01-05,-0.7194
2000-01-06,4.3478
2000-01-07,8.3333
2000-01-10,1.2821
2000-01-11,-1.2658
2000-01-12,-3.8462
2000-01-13,0.0
2000-01-14,1.3333
2000-01-18,4.6053
2000-01-19,-1.8868
2000-01-20,0.0
2000-01-21,5.1282
2000-01-24,7.3171
2000-01-25,11.3636
2000-01-26,6.1224
2000-01-27,-1.4423
2000-01-28,-10.7317
2000-01-31,-3.8251
2000-02-01,7.9545
2000-02-02,-2.6316
2000-02-03,0.5405
2000-02-04,-3.2258
2000-02-07,2.2222
2000-02-08,4.3478
2000-02-09,-2.0833
2000-02-10,3.1915
2000-02-11,-3.0928
2000-02-14,6.383
2000-02-15,3.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,7.2816
2000-02-22,1.3575
2000-02-23,12.9464
2000-02-24,13.834
2000-02-25,-4.8611
2000-02-28,-0.7299
2000-02-29,-5.5147
2000-03-01,3.5019
2000-03-02,-0.3759
2000-03-03,-1.1320999999999999
2000-03-06,-2.2901
2000-03-07,-3.9063
2000-03-08,-5.6911000000000005
2000-03-09,-4.3103
2000-03-10,-9.009
2000-03-13,-3.9604
2000-03-14,-2.0619
2000-03-15,1.0526
2000-03-16,4.6875
2000-03-17,19.9005
2000-03-20,-5.8091
2000-03-21,-3.5242
2000-03-22,4.1096
2000-03-23,-1.3158
2000-03-24,-4.8889
2000-03-27,-1.4019
2000-03-28,-2.3697
2000-03-29,-2.9126
2000-03-30,-6.0
2000-03-31,-2.1277
2000-04-03,-5.4348
2000-04-04,-6.8966
2000-04-05,-6.1728
2000-04-06,17.1053
2000-04-07,10.1124
2000-04-10,-4.0816
2000-04-11,-6.383
2000-04-12,-6.8182
2000-04-13,-5.4878
2000-04-14,-14.8387
2000-04-17,-3.0303
2000-04-18,7.0313
2000-04-19,8.0292
2000-04-20,0.0
2000-04-24,-8.7838
2000-04-25,-5.9259
2000-04-26,3.9370000000000003
2000-04-27,-9.0909
2000-04-28,5.0
2000-05-01,-1.5873
2000-05-02,10.4839
2000-05-03,-5.1095
2000-05-04,6.1538
2000-05-05,-1.4493
2000-05-08,-2.9412000000000003
2000-05-09,1.5152
2000-05-10,-5.2239
2000-05-11,0.7874
2000-05-12,-6.25
2000-05-15,0.8333
2000-05-16,0.8264
2000-05-17,1.6393
2000-05-18,3.2258
2000-05-19,-3.9063
2000-05-22,-17.0732
