ticker,AMPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-07,400.0
2013-06-18,20.0
2013-06-20,-16.6667
2013-06-28,56.0
2013-07-09,0.0
2013-07-16,92.3077
2013-07-17,-45.3333
2013-07-18,-2.439
2013-07-19,0.0
2013-07-22,-25.0
2013-07-23,-10.0
2013-07-24,-14.8148
2013-07-25,-13.0435
2013-07-26,-20.0
2013-07-29,-6.25
2013-07-30,60.0
2013-07-31,12.5
2013-08-01,-3.7037
2013-08-02,-7.6923
2013-08-05,25.0
2013-08-06,-6.6667
2013-08-07,-28.5714
2013-08-08,-25.0
2013-08-09,60.0
2013-08-12,-57.9167
2013-08-13,117.8218
2013-08-15,0.0
2013-08-16,-31.8182
2013-08-20,33.3333
2013-08-28,-25.0
2013-08-29,0.0
2013-08-30,0.0
2013-09-03,-6.6667
2013-09-04,0.0
2013-09-09,42.8571
2013-09-10,-10.0
2013-09-11,-16.6667
2013-09-12,-13.3333
2013-09-13,7.6923
2013-09-16,0.0
2013-09-17,21.4286
2013-09-18,-5.8824
2013-09-19,-6.25
2013-09-20,13.3333
2013-09-23,-5.8824
2013-09-24,-12.5
2013-09-25,7.1429
2013-09-26,20.0
2013-09-27,0.0
2013-09-30,0.0
2013-10-01,-5.5556
2013-10-02,2.9412000000000003
2013-10-03,0.0
2013-10-04,-20.0
2013-10-07,7.1429
2013-10-08,6.6667
2013-10-09,3.125
2013-10-10,0.0
2013-10-11,6.0606
2013-10-14,-5.7143
2013-10-15,-1.8182
2013-10-16,-1.2346
2013-10-17,3.125
2013-10-18,-4.2424
2013-10-21,-11.3924
2013-10-22,0.0
2013-10-23,-3.5714
2013-10-24,-3.7037
2013-10-25,7.6923
2013-10-29,-7.1429
2013-10-30,0.0
2013-10-31,0.0
2013-11-04,0.0
2013-11-06,0.0
2013-11-07,7.6923
2013-11-08,-3.5714
2013-11-11,0.0
2013-11-12,-7.4074
2013-11-13,-4.0
2013-11-14,0.0
2013-11-18,0.0
2013-11-19,12.5
2013-11-22,-11.1111
2013-11-25,-4.1667
2013-11-26,4.3478
2013-11-27,-4.1667
2013-11-29,-12.0109
2013-12-02,13.6504
2013-12-03,4.3478
2013-12-05,-4.1667
2013-12-06,13.0435
2013-12-09,-11.538499999999999
2013-12-10,0.0
2013-12-11,21.7391
2013-12-12,-14.2857
2013-12-13,-4.1667
2013-12-16,4.3478
2013-12-17,8.3333
2013-12-18,6.1538
2013-12-19,-15.942
2013-12-20,0.8621
2013-12-23,11.1111
