ticker,CURR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-20,95.122
2017-01-23,-47.5
2017-01-24,0.0
2017-01-25,7.1429
2017-01-27,2.2222
2017-01-31,0.0
2017-02-01,2.1739
2017-02-02,0.0
2017-02-03,1.1489
2017-02-06,3.0711
2017-02-07,2.0408
2017-02-08,6.0
2017-02-09,1.8868
2017-02-10,-1.8519
2017-02-13,0.0
2017-02-14,-1.8868
2017-02-15,3.4615
2017-02-16,-3.3457
2017-02-17,0.0
2017-02-21,0.0
2017-02-22,-15.3798
2017-02-23,18.1751
2017-02-27,0.0
2017-02-28,3.4615
2017-03-01,7.8067
2017-03-02,6.8966
2017-03-03,8.0645
2017-03-06,16.4179
2017-03-07,1.7949000000000002
2017-03-08,12.4811
2017-03-09,7.4908
2017-03-10,14.375
2017-03-13,14.7541
2017-03-14,3.1746
2017-03-15,10.7692
2017-03-16,8.3333
2017-03-17,3.2051
2017-03-20,8.0745
2017-03-21,-8.046
2017-03-22,0.0
2017-03-23,-11.5
2017-03-24,-13.1356
2017-03-27,5.5285
2017-03-28,7.0878
2017-03-29,-2.8777
2017-03-30,8.1481
2017-03-31,2.0548
2017-04-03,-6.0403
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,-7.1429
2017-04-07,10.0
2017-04-10,-4.8951
2017-04-11,2.9412000000000003
2017-04-12,0.0
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,-0.8571
2017-04-19,0.0
2017-04-20,2.3055
2017-04-21,-2.1127
2017-04-24,0.7194
2017-04-25,-4.4286
2017-04-26,4.6338
2017-04-27,-4.2857
2017-04-28,-1.4925
2017-05-01,6.0606
2017-05-02,-1.1429
2017-05-03,4.0462
2017-05-04,-2.7778
2017-05-05,2.8571
2017-05-08,-2.7778
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,1.0714
2017-05-12,2.4735
2017-05-15,1.3793
2017-05-16,2.0408
2017-05-17,-0.1333
2017-05-18,-3.2043
2017-05-22,4.8276
2017-05-23,-0.6579
2017-05-24,0.6623
2017-05-25,2.1053
2017-05-26,2.4485
2017-05-30,0.6289
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,-1.25
2017-06-05,-1.8987
2017-06-06,3.2258
2017-06-07,0.0
2017-06-08,-0.9988
2017-06-09,-3.4103
2017-06-12,-8.4967
2017-06-13,-2.8571
2017-06-14,-4.4118
2017-06-15,4.6154
2017-06-16,-3.3824
2017-06-19,0.4566
2017-06-21,-1.5152
2017-06-22,1.5385
